impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
1,-1,6,0,-1,-1,45000.000,45102.000,45600.004,100.004,1.500,1.449,0.834,0.2975,0.1868,0.1108,168.130,0.379085,1,1,1,1,20,18,101,-0.001605,0.000490,0.377058,56.281,10.781,88.917,98.822,0.033071,0.318316,0.023829,-0.047000,0.259503,55.410,44.590
2,-1,6,0,-1,-1,47000.000,47101.000,47599.996,99.996,1.500,1.453,0.841,0.2994,0.1882,0.1112,169.600,0.381074,1,1,1,1,20,18,101,-0.001544,0.000529,0.376575,54.463,12.474,89.056,100.237,0.033701,0.318914,0.024226,-0.043500,0.258548,55.412,44.588
3,-1,6,0,-1,-1,49000.000,49101.000,49600.000,100.000,1.500,1.448,0.829,0.3007,0.1886,0.1121,168.870,0.381673,1,1,1,1,20,18,101,-0.001372,0.000439,0.376923,56.669,10.163,88.617,98.573,0.033212,0.321316,0.024125,-0.049000,0.259768,55.621,44.379
4,-1,6,0,-1,-1,51000.000,51101.000,51600.000,100.000,1.500,1.448,0.837,0.2993,0.1882,0.1111,169.350,0.382290,1,1,1,1,20,18,101,-0.001190,0.000512,0.376119,54.624,11.552,88.684,99.760,0.033465,0.319663,0.024617,-0.047500,0.258946,55.515,44.485
5,-1,6,0,-1,-1,53000.000,53101.000,53599.996,99.996,1.500,1.445,0.827,0.3006,0.1887,0.1119,169.840,0.382630,1,1,1,1,20,18,101,-0.001226,0.001000,0.376926,54.052,10.188,88.907,98.931,0.033238,0.320599,0.024264,-0.050500,0.260039,55.404,44.596
6,-1,6,0,-1,-1,60000.000,60101.000,60599.988,99.988,1.600,1.554,0.858,0.3284,0.2047,0.1237,178.150,0.399250,1,1,1,1,20,18,101,-0.001336,0.000468,0.413434,56.646,10.368,88.772,98.562,0.036275,0.349772,0.028527,-0.040500,0.265107,55.831,44.169
7,-1,6,0,-1,-1,62000.000,62101.000,62599.992,99.992,1.600,1.554,0.872,0.3272,0.2045,0.1227,179.130,0.401715,1,1,1,1,20,18,101,-0.001337,0.000548,0.416452,54.240,11.850,88.674,99.608,0.036654,0.350090,0.028192,-0.040500,0.267042,55.861,44.139
8,-1,6,0,-1,-1,64000.000,64102.000,64599.996,99.996,1.600,1.550,0.867,0.3271,0.2039,0.1232,178.400,0.400103,1,1,1,1,20,18,101,-0.001412,0.000318,0.412099,56.543,10.470,88.505,98.906,0.036363,0.350779,0.028246,-0.045500,0.265101,55.778,44.222
9,-1,6,0,-1,-1,66000.000,66102.000,66600.004,100.004,1.600,1.553,0.873,0.3275,0.2044,0.1231,177.910,0.400213,1,1,1,1,20,18,101,-0.001324,0.000464,0.411498,49.378,11.175,88.865,99.423,0.036642,0.351391,0.024732,-0.041429,0.264022,55.626,44.374
10,-1,6,0,-1,-1,68000.000,68102.000,68599.992,99.992,1.600,1.566,0.905,0.3270,0.2043,0.1228,179.370,0.401817,1,1,1,1,20,18,101,-0.001320,0.000355,0.412342,56.528,11.103,88.600,99.112,0.036503,0.351010,0.027158,-0.030000,0.262638,55.863,44.137
11,-1,6,0,-1,-1,75000.000,75102.000,75600.008,100.008,1.700,1.651,0.897,0.3497,0.2173,0.1324,185.240,0.415139,1,1,1,1,20,18,101,-0.001453,0.000587,0.442870,56.734,11.146,88.286,98.957,0.039001,0.375979,0.029582,-0.045000,0.267595,56.000,44.000
12,-1,6,0,-1,-1,77000.000,77102.000,77600.008,100.008,1.700,1.648,0.920,0.3492,0.2171,0.1322,186.950,0.416760,1,1,1,1,20,18,101,-0.001294,0.000445,0.440455,53.327,11.243,88.304,99.175,0.038891,0.373710,0.029322,-0.047000,0.266458,55.874,44.126
