impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
19,-1,6,3,80.890,-1,1890120.000,1890222.000,1890719.996,99.996,1.800,1.731,0.909,0.3886,0.2198,0.1687,191.350,0.426533,1,1,1,1,20,18,101,0.000657,0.000472,0.497536,56.731,7.866,89.363,98.704,0.042944,0.412848,0.045977,-0.062857,0.286411,53.459,46.541
20,-1,6,3,80.890,-1,1892120.000,1892221.000,1892720.000,100.000,1.800,1.724,0.908,0.3866,0.2194,0.1672,191.590,0.430583,1,1,1,1,20,18,101,0.000612,0.000410,0.492171,58.492,8.863,88.966,99.784,0.043518,0.416023,0.043551,-0.070500,0.284574,53.271,46.729
21,-1,6,3,80.890,-1,1899120.000,1899222.000,1899720.008,100.008,1.900,1.852,0.953,0.4060,0.2289,0.1771,191.350,0.445653,1,1,1,1,20,18,101,0.000663,0.000489,0.533484,58.031,7.874,89.174,98.912,0.046495,0.447745,0.048295,-0.044000,0.287438,53.013,46.987
22,-1,6,3,80.890,-1,1901120.000,1901221.000,1901719.992,99.992,1.900,1.843,0.937,0.4006,0.2272,0.1735,191.350,0.446129,1,1,1,1,20,18,101,0.000493,0.000509,0.534493,59.235,8.949,89.070,99.496,0.046893,0.448100,0.049296,-0.054000,0.289541,52.923,47.077
23,-1,6,3,80.890,-1,1903120.000,1903221.000,1903719.992,99.992,1.900,1.847,0.952,0.4020,0.2278,0.1742,191.350,0.445491,1,1,1,1,20,18,101,0.000534,0.000347,0.532779,50.822,7.817,89.047,98.796,0.046644,0.446636,0.045251,-0.048182,0.287706,53.285,46.715
24,-1,6,3,80.890,-1,1905120.000,1905221.000,1905720.000,100.000,1.900,1.841,0.958,0.4137,0.2343,0.1794,191.350,0.445836,1,1,1,1,20,18,101,0.000458,0.000510,0.535127,59.676,9.018,89.049,99.611,0.046925,0.451690,0.048441,-0.054000,0.289885,52.981,47.019
25,-1,6,3,80.890,-1,1907120.000,1907221.000,1907719.996,99.996,1.900,1.842,0.951,0.4020,0.2283,0.1738,191.350,0.446141,1,1,1,1,20,18,101,0.000494,0.000468,0.532433,58.194,7.760,89.372,98.745,0.046602,0.447899,0.049185,-0.053000,0.288269,53.127,46.873
26,-1,6,3,80.890,-1,1914120.000,1914221.000,1914719.988,99.988,2.000,1.958,0.996,0.4220,0.2387,0.1833,191.350,0.461062,1,1,1,1,20,18,101,0.000288,0.000534,0.579909,56.925,9.240,88.876,99.455,0.050653,0.484946,0.052207,-0.038500,0.295646,52.666,47.334
27,-1,6,3,80.890,-1,1916120.000,1916222.000,1916719.988,99.988,2.000,1.947,1.003,0.4261,0.2409,0.1852,191.350,0.460833,1,1,1,1,20,18,101,0.000324,0.000337,0.572207,58.259,7.926,89.152,98.766,0.049973,0.484027,0.053706,-0.048000,0.293139,52.722,47.278
28,-1,6,3,80.890,-1,1918120.000,1918222.000,1918719.992,99.992,2.000,1.948,0.991,0.4195,0.2381,0.1814,191.350,0.459604,1,1,1,1,20,18,101,0.000168,0.000385,0.570729,57.365,8.941,88.779,99.499,0.050413,0.481653,0.048384,-0.046500,0.292157,52.667,47.333
29,-1,6,3,80.890,-1,1920120.000,1920222.000,1920720.004,100.004,2.000,1.952,1.001,0.4193,0.2381,0.1812,191.350,0.460508,1,1,1,1,20,18,101,0.000269,0.000423,0.568360,59.363,8.107,89.335,98.864,0.049798,0.480752,0.051228,-0.042500,0.290350,52.741,47.259
30,-1,6,3,80.890,-1,1922120.000,1922222.000,1922720.008,100.008,2.000,1.949,0.996,0.4237,0.2410,0.1827,191.350,0.461069,1,1,1,1,20,18,101,0.000179,0.000438,0.570772,57.640,8.693,89.199,99.351,0.050191,0.480235,0.051639,-0.045500,0.292030,52.790,47.210
31,-1,6,3,80.890,-1,1929120.000,1929222.000,1929720.004,100.004,2.100,2.033,1.004,0.4427,0.2497,0.1930,191.350,0.470307,1,1,1,1,20,18,101,0.000245,0.000376,0.605379,56.891,8.260,88.852,98.600,0.052840,0.508639,0.054705,-0.061500,0.296973,52.367,47.633
32,-1,6,3,80.890,-1,1931120.000,1931222.000,1931719.992,99.992,2.100,2.026,1.046,0.4351,0.2468,0.1883,191.590,0.470240,1,1,1,1,20,18,101,0.000272,0.000405,0.603836,57.509,8.949,89.178,99.376,0.052920,0.508455,0.056243,-0.068500,0.297236,52.455,47.545
33,-1,6,3,80.890,-1,1933120.000,1933221.000,1933720.008,100.008,2.100,2.027,1.021,0.4378,0.2475,0.1902,191.350,0.467570,1,1,1,1,20,18,101,0.000152,0.000346,0.599453,57.001,8.304,88.694,98.890,0.052809,0.508322,0.049762,-0.066190,0.294744,52.442,47.558
34,-1,6,3,80.890,-1,1935120.000,1935221.000,1935719.996,99.996,2.100,2.028,1.041,0.4356,0.2471,0.1884,191.350,0.467986,1,1,1,1,20,18,101,0.000223,0.000458,0.602997,58.799,8.792,88.816,99.321,0.052804,0.508979,0.053452,-0.067500,0.296677,52.287,47.713
35,-1,6,3,80.890,-1,1937120.000,1937221.000,1937719.992,99.992,2.100,2.021,1.017,0.4372,0.2485,0.1887,191.100,0.468307,1,1,1,1,20,18,101,0.000153,0.000360,0.597014,57.168,8.161,89.356,99.060,0.052373,0.503827,0.056461,-0.072857,0.294510,52.588,47.412
36,-1,6,3,80.890,-1,1944120.000,1944221.000,1944719.988,99.988,2.200,2.161,1.077,0.4619,0.2598,0.2020,191.100,0.480620,1,1,1,1,20,18,101,0.000251,0.000428,0.644863,52.995,9.110,89.057,99.296,0.056642,0.538235,0.055985,-0.035000,0.297858,51.858,48.142
37,-1,6,3,80.890,-1,1946120.000,1946221.000,1946719.984,99.984,2.200,2.129,1.083,0.4589,0.2577,0.2012,191.350,0.479870,1,1,1,1,20,18,101,-0.000129,0.000798,0.648660,58.580,8.405,89.283,98.696,0.056354,0.547205,0.059203,-0.064500,0.303751,51.637,48.363
38,-1,6,3,80.890,-1,1948120.000,1948222.000,1948719.988,99.988,2.200,2.131,1.076,0.4618,0.2597,0.2022,191.350,0.479207,1,1,1,1,20,18,101,-0.000073,0.000328,0.639778,57.664,8.734,89.021,99.293,0.056120,0.541939,0.058214,-0.062500,0.299312,51.644,48.356
39,-1,6,3,80.890,-1,1950120.000,1950222.000,1950720.004,100.004,2.200,2.132,1.076,0.4616,0.2595,0.2021,191.350,0.481020,1,1,1,1,20,18,101,0.000003,0.000403,0.642231,58.046,8.502,88.842,98.832,0.056148,0.542990,0.057343,-0.062500,0.300459,51.654,48.346
40,-1,6,3,80.890,-1,1952120.000,1952222.000,1952719.996,99.996,2.200,2.127,1.049,0.4590,0.2588,0.2002,191.350,0.479309,1,1,1,1,20,18,101,-0.000103,0.000502,0.640378,60.309,8.912,88.986,99.141,0.055948,0.543382,0.057929,-0.067500,0.300295,51.585,48.415
41,-1,6,3,80.890,-1,1959120.000,1959222.000,1959720.004,100.004,2.300,2.233,1.133,0.4818,0.2689,0.2129,191.350,0.487430,1,1,1,1,20,18,101,0.000014,0.000821,0.672496,57.474,8.431,88.879,98.661,0.058816,0.569473,0.058741,-0.061500,0.300422,51.140,48.860
42,-1,6,3,80.890,-1,1961120.000,1961222.000,1961720.008,100.008,2.300,2.249,1.123,0.4771,0.2666,0.2105,191.350,0.488791,1,1,1,1,20,18,101,-0.000105,0.000584,0.673986,57.326,8.934,88.854,99.375,0.059758,0.570997,0.058167,-0.048000,0.299283,51.020,48.980
43,-1,6,3,80.890,-1,1963120.000,1963222.000,1963720.012,100.012,2.300,2.239,1.129,0.4798,0.2676,0.2122,191.350,0.488628,1,1,1,1,20,18,101,0.000116,0.000577,0.670854,59.649,8.433,88.750,99.102,0.059503,0.575526,0.056892,-0.054500,0.298755,50.725,49.275
44,-1,6,3,80.890,-1,1965120.000,1965221.000,1965720.000,100.000,2.300,2.244,1.127,0.4845,0.2699,0.2146,191.350,0.490939,1,1,1,1,20,18,101,-0.000228,0.000521,0.682319,57.709,8.665,89.035,98.915,0.059474,0.573032,0.063280,-0.050500,0.303320,50.713,49.287
45,-1,6,3,80.890,-1,1967120.000,1967221.000,1967719.992,99.992,2.300,2.243,1.128,0.4814,0.2679,0.2134,191.350,0.490115,1,1,1,1,20,18,101,-0.000047,0.000290,0.673562,58.141,8.439,89.220,99.088,0.059810,0.576563,0.057343,-0.052500,0.299694,50.752,49.248
46,-1,6,3,80.890,-1,1974120.000,1974221.000,1974720.000,100.000,2.400,2.358,1.173,0.5072,0.2791,0.2281,191.350,0.497959,1,1,1,1,20,18,101,-0.000174,0.000396,0.716428,58.615,8.948,88.811,99.173,0.063174,0.606985,0.061604,-0.037500,0.303250,49.749,50.251
47,-1,6,3,80.890,-1,1976120.000,1976221.000,1976719.988,99.988,2.400,2.362,1.179,0.5097,0.2799,0.2298,191.590,0.500365,1,1,1,1,20,18,101,-0.000083,0.000363,0.715446,54.291,8.525,88.847,98.902,0.063370,0.606797,0.059201,-0.031905,0.302119,50.105,49.895
48,-1,6,3,80.890,-1,1978120.000,1978221.000,1978720.000,100.000,2.400,2.362,1.177,0.5085,0.2791,0.2294,191.100,0.500143,1,1,1,1,20,18,101,-0.000153,0.000272,0.720140,58.718,8.951,88.715,99.129,0.063587,0.615212,0.062198,-0.032000,0.304113,49.638,50.362
49,-1,6,3,80.890,-1,1980120.000,1980222.000,1980719.988,99.988,2.400,2.362,1.167,0.5069,0.2775,0.2294,191.100,0.499544,1,1,1,1,20,18,101,-0.000236,0.000424,0.724445,57.128,8.688,88.932,98.816,0.063316,0.612300,0.062334,-0.032500,0.305996,49.553,50.447
50,-1,6,3,80.890,-1,1982120.000,1982222.000,1982720.012,100.012,2.400,2.362,1.172,0.5115,0.2808,0.2307,191.100,0.500041,1,1,1,1,20,18,101,-0.000041,0.000403,0.717203,58.032,8.372,88.971,99.041,0.063398,0.611571,0.060485,-0.033500,0.303065,49.738,50.262
51,-1,6,3,80.890,-1,1989120.000,1989222.000,1989719.992,99.992,2.500,2.496,1.255,0.5391,0.2882,0.2509,190.860,0.508554,1,1,1,1,20,18,101,-0.000369,0.000384,0.761285,58.442,8.538,88.950,98.959,0.067732,0.654411,0.063061,0.000000,0.304514,48.204,51.796
52,-1,6,3,80.890,-1,1991120.000,1991222.000,1991720.004,100.004,2.500,2.489,1.244,0.5376,0.2881,0.2495,191.350,0.509994,1,1,1,1,20,18,101,-0.000370,0.000482,0.759682,60.262,8.954,89.026,99.374,0.067734,0.652632,0.064302,-0.005500,0.304543,48.112,51.888
53,-1,6,3,80.890,-1,1993120.000,1993222.000,1993720.000,100.000,2.500,2.491,1.242,0.5386,0.2879,0.2507,191.100,0.508619,1,1,1,1,20,18,101,-0.000402,0.000309,0.763280,58.161,8.697,88.975,99.070,0.067745,0.652447,0.064756,-0.004500,0.305863,48.027,51.973
54,-1,6,3,80.890,-1,1995120.000,1995222.000,1995720.008,100.008,2.500,2.480,1.209,0.5400,0.2887,0.2514,191.100,0.508884,1,1,1,1,20,18,101,-0.000506,0.000409,0.761578,60.555,8.796,88.507,99.163,0.067909,0.656359,0.063215,-0.014500,0.306409,47.883,52.117
55,-1,6,3,80.890,-1,1997120.000,1997221.000,1997720.004,100.004,2.500,2.491,1.249,0.5353,0.2866,0.2486,191.100,0.509972,1,1,1,1,20,18,101,-0.000295,0.000468,0.762916,58.054,8.839,89.081,99.083,0.067486,0.646370,0.064436,-0.006000,0.305901,48.115,51.885
56,-1,6,3,80.890,-1,2004120.000,2004221.000,2004720.008,100.008,2.600,2.575,1.274,0.5580,0.2922,0.2658,191.100,0.515787,1,1,1,1,20,18,101,-0.000634,0.000299,0.793993,57.744,8.881,88.860,99.288,0.071151,0.680095,0.067423,-0.020000,0.307749,47.106,52.894
57,-1,6,3,80.890,-1,2006120.000,2006221.000,2006719.992,99.992,2.600,2.567,1.261,0.5584,0.2937,0.2646,191.100,0.514362,1,1,1,1,20,18,101,-0.000633,0.000435,0.790093,59.223,8.771,88.608,98.858,0.069923,0.678881,0.065399,-0.028000,0.307190,47.035,52.965
58,-1,6,3,80.890,-1,2008120.000,2008221.000,2008719.992,99.992,2.600,2.565,1.269,0.5552,0.2917,0.2635,191.100,0.515380,1,1,1,1,20,18,101,-0.000420,0.000440,0.787914,58.348,8.928,88.603,99.263,0.070375,0.676967,0.064753,-0.030500,0.306641,47.011,52.989
59,-1,6,3,80.890,-1,2010120.000,2010221.000,2010719.988,99.988,2.600,2.569,1.271,0.5569,0.2926,0.2642,190.860,0.514349,1,1,1,1,20,18,101,-0.000610,0.000379,0.783605,59.491,8.537,88.959,99.060,0.070383,0.681423,0.064651,-0.026500,0.304490,46.978,53.022
60,-1,6,3,80.890,-1,2012120.000,2012222.000,2012719.992,99.992,2.600,2.569,1.274,0.5545,0.2910,0.2634,191.100,0.515816,1,1,1,1,20,18,101,-0.000558,0.000435,0.784163,57.280,8.663,88.877,99.334,0.070358,0.675470,0.064370,-0.026500,0.304707,46.975,53.025
61,-1,6,3,80.890,-1,2019120.000,2019222.000,2019720.000,100.000,2.700,2.688,1.335,0.5904,0.3002,0.2902,190.860,0.522312,1,1,1,1,20,18,101,-0.000668,0.000979,0.835630,61.399,8.946,88.471,98.938,0.074405,0.726941,0.068148,-0.007000,0.310297,45.271,54.729
62,-1,6,3,80.890,-1,2021120.000,2021222.000,2021719.996,99.996,2.700,2.682,1.323,0.5860,0.2997,0.2863,190.860,0.522149,1,1,1,1,20,18,101,-0.000844,0.000420,0.825105,58.823,8.951,88.320,99.227,0.074075,0.716164,0.067593,-0.015000,0.307302,45.581,54.419
63,-1,6,3,80.890,-1,2023120.000,2023222.000,2023720.012,100.012,2.700,2.683,1.326,0.5853,0.2985,0.2868,190.860,0.522462,1,1,1,1,20,18,101,-0.000770,0.000368,0.831479,57.968,8.850,88.283,98.937,0.073871,0.716689,0.066691,-0.011905,0.309319,45.292,54.708
64,-1,6,3,80.890,-1,2025120.000,2025222.000,2025720.016,100.016,2.700,2.679,1.331,0.5820,0.2975,0.2845,191.100,0.522805,1,1,1,1,20,18,101,-0.000701,0.000301,0.822852,58.888,8.571,88.661,99.290,0.074370,0.716504,0.065703,-0.015000,0.306463,45.616,54.384
65,-1,6,3,80.890,-1,2027120.000,2027222.000,2027720.004,100.004,2.700,2.680,1.329,0.5857,0.2989,0.2868,190.860,0.523889,1,1,1,1,20,18,101,-0.000989,0.000535,0.829736,57.607,8.778,88.613,99.033,0.074388,0.716710,0.067013,-0.013810,0.308890,45.425,54.575
66,-1,6,3,80.890,-1,2034120.000,2034222.000,2034720.008,100.008,2.800,2.798,1.377,0.6144,0.3046,0.3098,190.860,0.530376,1,1,1,1,20,18,101,-0.001215,0.000418,0.871874,60.226,8.820,88.062,99.117,0.078377,0.761830,0.067454,0.002500,0.311106,43.861,56.139
67,-1,6,3,80.890,-1,2036120.000,2036221.000,2036720.004,100.004,2.800,2.793,1.363,0.6140,0.3052,0.3088,191.100,0.529362,1,1,1,1,20,18,101,-0.001160,0.000335,0.867706,58.720,8.902,88.443,99.005,0.078005,0.752047,0.070652,-0.001500,0.310061,44.107,55.893
68,-1,6,3,80.890,-1,2038120.000,2038221.000,2038720.012,100.012,2.800,2.791,1.362,0.6120,0.3040,0.3081,191.100,0.531093,1,1,1,1,20,18,101,-0.000916,0.000485,0.867446,60.493,8.704,88.298,99.202,0.078169,0.757669,0.068733,-0.005000,0.310356,43.942,56.058
69,-1,6,3,80.890,-1,2040120.000,2040221.000,2040719.988,99.988,2.800,2.797,1.389,0.6130,0.3046,0.3084,190.860,0.529175,1,1,1,1,20,18,101,-0.000910,0.000528,0.870973,58.553,8.964,88.306,98.973,0.078215,0.757130,0.068838,0.002000,0.310840,43.838,56.162
70,-1,6,3,80.890,-1,2042120.000,2042221.000,2042720.000,100.000,2.800,2.798,1.381,0.6140,0.3050,0.3090,191.100,0.529456,1,1,1,1,20,18,101,-0.000783,0.000426,0.868509,59.633,8.827,88.472,99.077,0.078056,0.755195,0.069146,0.003500,0.309795,43.424,56.576
71,-1,6,3,80.890,-1,2049120.000,2049221.000,2049719.992,99.992,2.900,2.911,1.448,0.6420,0.3085,0.3336,191.100,0.536278,1,1,1,1,20,18,101,-0.001011,0.000461,0.908405,56.301,8.491,88.470,98.911,0.082175,0.791886,0.070175,0.016667,0.311453,42.505,57.495
72,-1,6,3,80.890,-1,2051120.000,2051221.000,2051719.988,99.988,2.900,2.913,1.431,0.6430,0.3099,0.3332,190.860,0.535259,1,1,1,1,20,18,101,-0.001139,0.000358,0.912984,58.880,9.178,87.899,99.061,0.081866,0.795559,0.069461,0.017619,0.312921,42.214,57.786
73,-1,6,3,80.890,-1,2053121.000,2053222.000,2053720.988,99.988,2.900,2.908,1.451,0.6467,0.3112,0.3355,190.860,0.535907,1,1,1,1,20,18,101,-0.001056,0.000407,0.903012,59.687,8.574,88.201,98.891,0.081594,0.794614,0.070728,0.013500,0.309941,42.328,57.672
74,-1,6,3,80.890,-1,2055120.000,2055222.000,2055720.004,100.004,2.900,2.914,1.444,0.6452,0.3097,0.3355,190.860,0.537639,1,1,1,1,20,18,101,-0.000983,0.000488,0.911498,58.865,8.958,87.866,99.064,0.082319,0.799639,0.066645,0.018500,0.312317,42.266,57.734
75,-1,6,3,80.890,-1,2057120.000,2057222.000,2057719.996,99.996,2.900,2.912,1.444,0.6382,0.3081,0.3301,190.860,0.534738,1,1,1,1,20,18,101,-0.001121,0.000447,0.907156,60.593,8.954,88.190,99.133,0.082079,0.795111,0.071575,0.016000,0.311096,42.306,57.694
76,-1,6,3,80.890,-1,2064120.000,2064222.000,2064719.992,99.992,3.000,2.987,1.467,0.6595,0.3114,0.3482,190.860,0.540796,1,1,1,1,20,18,101,-0.001263,0.000404,0.932687,59.470,9.043,87.745,99.188,0.084858,0.825394,0.069135,-0.006500,0.311571,41.317,58.683
77,-1,6,3,80.890,-1,2066120.000,2066222.000,2066719.988,99.988,3.000,2.982,1.485,0.6622,0.3113,0.3509,191.100,0.539771,1,1,1,1,20,18,101,-0.001209,0.000368,0.934894,61.535,8.788,87.833,98.994,0.084644,0.825876,0.067938,-0.012000,0.312883,41.027,58.973
78,-1,6,3,80.890,-1,2068120.000,2068221.000,2068719.988,99.988,3.000,2.989,1.486,0.6651,0.3140,0.3510,191.100,0.541460,1,1,1,1,20,18,101,-0.001101,0.000362,0.944326,59.945,9.304,88.049,99.009,0.084331,0.822505,0.074533,-0.005000,0.315301,41.171,58.829
79,-1,6,3,80.890,-1,2070120.000,2070221.000,2070719.996,99.996,3.000,2.992,1.484,0.6625,0.3124,0.3501,191.100,0.540921,1,1,1,1,20,18,101,-0.001189,0.000424,0.942038,58.675,9.096,88.181,98.931,0.084386,0.817001,0.074889,-0.003500,0.314380,41.261,58.739
80,-1,6,3,80.890,-1,2072120.000,2072221.000,2072719.988,99.988,3.000,2.994,1.493,0.6635,0.3125,0.3510,190.860,0.540338,1,1,1,1,20,18,101,-0.001066,0.000420,0.940007,59.861,9.068,88.185,99.085,0.084676,0.823111,0.074020,-0.001000,0.313440,41.204,58.796
81,-1,6,3,80.890,-1,2079120.000,2079221.000,2079719.996,99.996,3.100,3.103,1.539,0.6924,0.3164,0.3760,191.350,0.549751,1,1,1,1,20,18,101,-0.001410,0.000450,0.979906,59.730,8.834,87.864,98.946,0.088663,0.864354,0.070089,0.009000,0.315184,39.897,60.103
82,-1,6,3,80.890,-1,2081120.000,2081221.000,2081719.992,99.992,3.100,3.103,1.529,0.6847,0.3148,0.3698,191.100,0.549858,1,1,1,1,20,18,101,-0.001421,0.000304,0.976309,60.432,9.111,88.219,99.112,0.088374,0.857713,0.075713,0.007500,0.314178,40.127,59.873
83,-1,6,3,80.890,-1,2083120.000,2083221.000,2083719.992,99.992,3.100,3.098,1.529,0.6899,0.3157,0.3741,191.100,0.547221,1,1,1,1,20,18,101,-0.001366,0.000334,0.977663,59.961,9.137,87.704,98.845,0.088346,0.861713,0.075759,0.003000,0.315070,39.781,60.219
84,-1,6,3,80.890,-1,2085120.000,2085222.000,2085720.000,100.000,3.100,3.104,1.531,0.6849,0.3129,0.3720,191.100,0.548150,1,1,1,1,20,18,101,-0.001281,0.000464,0.983531,61.152,8.983,87.795,99.025,0.088448,0.863756,0.073095,0.009000,0.316350,39.651,60.349
85,-1,6,3,80.890,-1,2087120.000,2087222.000,2087720.004,100.004,3.100,3.100,1.547,0.6923,0.3155,0.3769,191.100,0.548546,1,1,1,1,20,18,101,-0.001335,0.000610,0.983799,60.115,9.246,87.976,98.847,0.088267,0.861935,0.074875,0.004500,0.316895,39.460,60.540
86,-1,6,3,80.890,-1,2094120.000,2094222.000,2094720.004,100.004,3.200,3.226,1.597,0.7018,0.3106,0.3912,191.100,0.552725,1,1,1,1,20,18,101,-0.001445,0.000563,1.021339,58.928,9.045,87.751,99.107,0.093281,0.903392,0.072487,0.030000,0.316204,38.285,61.715
87,-1,6,3,80.890,-1,2096120.000,2096222.000,2096720.004,100.004,3.200,3.217,1.604,0.7025,0.3107,0.3918,191.100,0.552277,1,1,1,1,20,18,101,-0.001352,0.000554,1.029459,60.656,9.151,87.618,98.944,0.092769,0.906314,0.074620,0.022500,0.319460,37.990,62.010
