impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
1,-1,6,3,80.890,-1,1839120.000,1839221.000,1839719.988,99.988,1.500,1.436,0.795,0.3068,0.1666,0.1402,168.130,0.377540,1,1,1,1,20,18,101,0.001480,0.000335,0.395806,56.111,9.265,89.576,99.805,0.033996,0.324724,0.036238,-0.061905,0.275230,53.155,46.845
2,-1,6,3,80.890,-1,1841120.000,1841221.000,1841719.992,99.992,1.500,1.437,0.806,0.3096,0.1697,0.1399,168.620,0.379279,1,1,1,1,20,18,101,0.001439,0.000445,0.398671,57.421,7.286,89.687,98.754,0.034156,0.327984,0.037448,-0.061000,0.277047,52.918,47.082
3,-1,6,3,80.890,-1,1843120.000,1843221.000,1843719.992,99.992,1.500,1.437,0.816,0.3073,0.1706,0.1368,168.380,0.378400,1,1,1,1,20,18,101,0.001265,0.000402,0.399193,56.397,9.973,89.714,100.109,0.034408,0.325601,0.037537,-0.058095,0.276851,53.183,46.817
4,-1,6,3,80.890,-1,1845120.000,1845222.000,1845720.000,100.000,1.500,1.434,0.821,0.3082,0.1710,0.1372,168.870,0.379531,1,1,1,1,20,18,101,0.001037,0.000461,0.394919,57.772,7.387,89.407,98.792,0.034096,0.328138,0.034779,-0.061500,0.274536,53.116,46.884
5,-1,6,3,80.890,-1,1847120.000,1847222.000,1847719.996,99.996,1.500,1.429,0.796,0.3078,0.1721,0.1357,168.380,0.379641,1,1,1,1,20,18,101,0.001127,0.000380,0.394402,56.302,8.606,89.699,99.856,0.034387,0.325678,0.036279,-0.066190,0.275073,53.278,46.722
6,-1,6,3,80.890,-1,1854120.000,1854222.000,1854720.020,100.020,1.600,1.541,0.837,0.3365,0.1874,0.1491,177.660,0.397428,1,1,1,1,20,18,101,0.000900,0.000363,0.436548,58.611,8.031,89.790,98.977,0.037415,0.358337,0.042406,-0.055500,0.282647,53.161,46.839
7,-1,6,3,80.890,-1,1856120.000,1856222.000,1856719.992,99.992,1.600,1.532,0.842,0.3368,0.1889,0.1479,177.420,0.398371,1,1,1,1,20,18,101,0.000911,0.000358,0.435741,56.820,9.299,89.794,99.748,0.037716,0.357202,0.042050,-0.062500,0.283409,53.365,46.635
8,-1,6,3,80.890,-1,1858120.000,1858222.000,1858720.008,100.008,1.600,1.539,0.842,0.3366,0.1884,0.1482,177.420,0.397334,1,1,1,1,20,18,101,0.000929,0.000367,0.433701,59.272,8.094,89.752,99.009,0.037395,0.358661,0.043235,-0.055500,0.280803,53.127,46.873
9,-1,6,3,80.890,-1,1860120.000,1860221.000,1860719.996,99.996,1.600,1.537,0.856,0.3368,0.1890,0.1478,177.660,0.397545,1,1,1,1,20,18,101,0.001022,0.000267,0.433336,56.648,7.749,89.665,99.081,0.037400,0.360068,0.040339,-0.058000,0.281022,53.309,46.691
10,-1,6,3,80.890,-1,1862120.000,1862221.000,1862719.988,99.988,1.600,1.539,0.865,0.3380,0.1902,0.1478,177.170,0.398537,1,1,1,1,20,18,101,0.000923,0.000401,0.429888,58.300,8.467,89.347,99.538,0.037713,0.360281,0.039312,-0.056500,0.278515,53.264,46.736
11,-1,6,3,80.890,-1,1869120.000,1869221.000,1869719.996,99.996,1.700,1.629,0.889,0.3576,0.2011,0.1566,184.020,0.411132,1,1,1,1,20,18,101,0.000899,0.000401,0.462113,58.018,8.341,89.858,99.487,0.040119,0.383132,0.045130,-0.066500,0.282897,53.288,46.712
12,-1,6,3,80.890,-1,1871120.000,1871221.000,1871719.992,99.992,1.700,1.624,0.883,0.3588,0.2018,0.1570,184.260,0.410816,1,1,1,1,20,18,101,0.000754,0.000356,0.463272,57.110,8.355,89.567,99.003,0.039724,0.383152,0.043278,-0.071500,0.284478,53.263,46.737
13,-1,6,3,80.890,-1,1873120.000,1873221.000,1873719.988,99.988,1.700,1.625,0.879,0.3587,0.2021,0.1566,183.770,0.411822,1,1,1,1,20,18,101,0.000845,0.000428,0.458132,58.914,8.015,89.359,99.399,0.040100,0.384110,0.039616,-0.070000,0.281063,53.227,46.773
14,-1,6,3,80.890,-1,1875120.000,1875221.000,1875719.996,99.996,1.700,1.621,0.865,0.3582,0.2024,0.1558,184.020,0.410755,1,1,1,1,20,18,101,0.000720,0.000362,0.460542,56.913,8.612,89.556,99.407,0.040066,0.383425,0.040819,-0.073000,0.283062,53.405,46.595
15,-1,6,3,80.890,-1,1877120.000,1877222.000,1877719.996,99.996,1.700,1.621,0.865,0.3586,0.2028,0.1557,183.770,0.410205,1,1,1,1,20,18,101,0.000577,0.000376,0.461702,58.372,7.886,89.591,98.923,0.039941,0.384022,0.043942,-0.073000,0.283775,53.425,46.575
16,-1,6,3,80.890,-1,1884120.000,1884222.000,1884720.000,100.000,1.800,1.740,0.914,0.3886,0.2189,0.1697,191.590,0.429230,1,1,1,1,20,18,101,0.000599,0.000321,0.500072,57.635,8.757,89.206,99.255,0.043578,0.416838,0.045547,-0.056000,0.286738,53.373,46.627
17,-1,6,3,80.890,-1,1886120.000,1886222.000,1886719.992,99.992,1.800,1.732,0.902,0.3871,0.2180,0.1691,191.350,0.429090,1,1,1,1,20,18,101,0.000505,0.000365,0.491507,56.447,7.731,88.908,98.953,0.043272,0.414688,0.041348,-0.063810,0.283095,53.351,46.649
18,-1,6,3,80.890,-1,1888120.000,1888222.000,1888719.996,99.996,1.800,1.732,0.898,0.3858,0.2183,0.1675,191.350,0.429764,1,1,1,1,20,18,101,0.000645,0.000484,0.495331,58.184,9.100,89.305,99.669,0.043416,0.413716,0.045297,-0.064500,0.285411,53.226,46.774
