impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
11,-1,6,1,-1,-1,77065.000,77166.000,77664.988,99.988,1.700,1.646,0.897,0.2842,0.1793,0.1049,185.000,0.414019,1,1,1,1,20,18,100,0.000950,0.000352,0.357540,66.243,10.946,88.375,99.286,0.032360,0.305048,0.026193,-0.052308,0.216995,61.128,38.872
12,-1,6,1,-1,-1,79065.000,79166.000,79664.992,99.992,1.700,1.646,0.928,0.2855,0.1801,0.1054,185.480,0.414598,1,1,1,1,20,18,100,0.000962,0.000435,0.355957,63.896,10.940,88.139,99.515,0.032637,0.305021,0.027057,-0.049500,0.215666,61.076,38.924
13,-1,6,1,-1,-1,81065.000,81167.000,81665.000,100.000,1.700,1.638,0.884,0.2853,0.1800,0.1053,186.220,0.415922,1,1,1,1,20,18,100,0.001143,0.000319,0.355820,63.678,11.217,87.773,99.559,0.032334,0.303528,0.026836,-0.056111,0.216450,61.174,38.826
14,-1,6,1,-1,-1,83065.000,83167.000,83665.000,100.000,1.700,1.639,0.882,0.2858,0.1801,0.1057,186.220,0.415879,1,1,1,1,20,18,100,-0.000097,0.000432,0.356559,64.817,10.279,88.107,98.905,0.033918,0.307649,0.024992,-0.056000,0.216885,61.047,38.953
15,-1,6,1,-1,-1,85065.000,85167.000,85664.996,99.996,1.700,1.643,0.907,0.2845,0.1796,0.1049,185.730,0.414199,1,1,1,1,20,18,100,0.000953,0.000456,0.359629,65.856,12.467,88.194,100.009,0.033502,0.306729,0.027053,-0.051500,0.218155,61.075,38.925
16,-1,6,1,-1,-1,92065.000,92167.000,92664.996,99.996,1.800,1.757,0.947,0.3052,0.1926,0.1126,191.100,0.431451,1,1,1,1,20,18,100,0.001023,0.000346,0.384830,65.691,10.895,88.130,99.409,0.034756,0.330264,0.029169,-0.042000,0.218902,61.027,38.973
17,-1,6,1,-1,-1,94065.000,94167.000,94664.996,99.996,1.800,1.752,0.935,0.3059,0.1927,0.1132,190.860,0.431033,1,1,1,1,20,18,100,0.000830,0.000503,0.390296,60.951,10.320,88.459,98.432,0.034778,0.327213,0.030512,-0.041765,0.221982,61.207,38.793
18,-1,6,1,-1,-1,96065.000,96166.000,96664.996,99.996,1.800,1.749,0.942,0.3063,0.1934,0.1130,191.100,0.432562,1,1,1,1,20,18,100,0.000919,0.000485,0.384998,65.809,11.927,88.038,99.971,0.035073,0.331418,0.029395,-0.046500,0.219560,61.018,38.982
19,-1,6,1,-1,-1,98065.000,98166.000,98664.984,99.984,1.800,1.747,0.929,0.3068,0.1932,0.1137,190.860,0.431875,1,1,1,1,20,18,100,0.001160,0.000355,0.387259,64.424,9.873,88.062,98.574,0.034455,0.330628,0.029379,-0.047500,0.220975,61.032,38.968
20,-1,6,1,-1,-1,100065.000,100166.000,100664.996,99.996,1.800,1.751,0.960,0.3077,0.1939,0.1138,191.100,0.431573,1,1,1,1,20,18,100,0.000957,0.000365,0.388499,66.091,12.012,88.205,99.867,0.036480,0.333486,0.026954,-0.044500,0.221304,60.866,39.134
