impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
1,-1,6,2,70.900,-1,2513595.000,2513696.000,2514194.988,99.988,1.500,1.398,0.803,0.2400,0.1217,0.1183,170.580,0.384619,1,1,1,1,20,18,101,0.003354,0.003827,0.293583,51.109,11.128,88.505,99.651,0.026904,0.252852,0.017457,-0.090500,0.208289,61.238,38.762
2,-1,6,2,70.900,-1,2515595.000,2515696.000,2516194.992,99.992,1.500,1.399,0.812,0.2395,0.1238,0.1156,169.350,0.381741,1,1,1,1,20,18,101,0.003201,0.003722,0.290898,52.715,8.805,89.111,99.513,0.026675,0.251883,0.019162,-0.090500,0.206384,61.270,38.730
3,-1,6,2,70.900,-1,2517595.000,2517697.000,2518195.000,100.000,1.500,1.406,0.812,0.2405,0.1264,0.1141,170.090,0.382989,1,1,1,1,20,18,101,0.003003,0.004318,0.303053,46.189,10.061,88.727,98.732,0.026625,0.253214,0.020713,-0.081818,0.213691,61.381,38.619
4,-1,6,2,70.900,-1,2519595.000,2519697.000,2520194.996,99.996,1.500,1.421,0.804,0.2370,0.1254,0.1116,168.870,0.380906,1,1,1,1,20,18,101,0.002948,0.004239,0.292123,51.278,10.157,89.199,100.163,0.026754,0.247680,0.020521,-0.071000,0.204425,61.639,38.361
5,-1,6,2,70.900,-1,2521595.000,2521697.000,2522194.996,99.996,1.500,1.435,0.801,0.2385,0.1274,0.1111,170.330,0.381380,1,1,1,1,20,18,101,0.003237,0.003768,0.295341,51.821,8.565,88.542,98.357,0.026450,0.248897,0.021299,-0.061000,0.205241,61.256,38.744
6,-1,6,2,70.900,-1,2528595.000,2528697.000,2529195.012,100.012,1.600,1.550,0.844,0.2580,0.1400,0.1180,178.150,0.397794,1,1,1,1,20,18,101,0.003101,0.004244,0.325673,45.427,10.263,88.928,98.823,0.028970,0.269996,0.023577,-0.043182,0.209191,60.935,39.065
7,-1,6,2,70.900,-1,2530595.000,2530697.000,2531195.012,100.012,1.600,1.548,0.851,0.2591,0.1417,0.1174,178.640,0.399705,1,1,1,1,20,18,101,0.003195,0.004143,0.313520,52.685,8.207,89.128,99.279,0.028902,0.269932,0.020813,-0.047000,0.201880,60.972,39.028
8,-1,6,2,70.900,-1,2532595.000,2532697.000,2533195.008,100.008,1.600,1.548,0.849,0.2588,0.1430,0.1157,178.890,0.400671,1,1,1,1,20,18,101,0.002920,0.004205,0.322396,51.679,11.184,88.740,99.384,0.029073,0.271301,0.022976,-0.046000,0.207462,61.037,38.963
9,-1,6,2,70.900,-1,2534595.000,2534696.000,2535195.008,100.008,1.600,1.553,0.841,0.2598,0.1440,0.1158,178.400,0.398957,1,1,1,1,20,18,101,0.003158,0.004261,0.315678,52.809,8.611,88.855,99.137,0.028877,0.270941,0.019993,-0.042500,0.202682,60.941,39.059
10,-1,6,2,70.900,-1,2536595.000,2536696.000,2537195.000,100.000,1.600,1.551,0.840,0.2595,0.1449,0.1146,178.150,0.398220,1,1,1,1,20,18,101,0.002926,0.004309,0.326919,51.388,10.666,89.039,99.233,0.029191,0.272603,0.023684,-0.044500,0.210170,60.846,39.154
11,-1,6,2,70.900,-1,2543595.000,2543696.000,2544194.984,99.984,1.700,1.646,0.890,0.2742,0.1538,0.1204,184.510,0.412433,1,1,1,1,20,18,101,0.002728,0.004574,0.346585,50.836,10.369,89.286,99.337,0.030903,0.287157,0.027597,-0.051905,0.210294,60.661,39.339
12,-1,6,2,70.900,-1,2545595.000,2545696.000,2546195.000,100.000,1.700,1.636,0.872,0.2746,0.1541,0.1205,185.240,0.413391,1,1,1,1,20,18,101,0.002819,0.004240,0.333062,47.956,9.450,88.459,99.556,0.030885,0.289006,0.020385,-0.058095,0.202851,60.336,39.664
13,-1,6,2,70.900,-1,2547595.000,2547696.000,2548194.984,99.984,1.700,1.636,0.875,0.2742,0.1548,0.1194,184.260,0.412557,1,1,1,1,20,18,101,0.002604,0.004189,0.340785,50.741,9.296,89.191,99.186,0.030753,0.287603,0.025202,-0.059048,0.207675,60.414,39.586
