sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_163752_773;20260918_163752_773_i0001;2026-09-18T16:37:59.045+02:00;impulse_0001_20260918_163752_773_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_163752_773_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-45,948;-1;7731875,000;7731921,000;7732425,000;50,000;3,000;2,976653333333333;0,5561466666666667;0,5136;0,3700;0,1436;145,878;0,234439;1;1;1;0;2;0;73;0,257698;0,302276;-0,130162;5,656;;;;0,000000;-0,249567;0,056549;-0,023347;-0,043728;;
20260918_163752_773;20260918_163752_773_i0002;2026-09-18T16:38:01.106+02:00;impulse_0002_20260918_163752_773_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_163752_773_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-45,948;-1;7733921,000;7734000,000;7734471,000;50,000;3,000;3,00156;0,83682;0,5038;0,3617;0,1421;146,275;0,235698;1;1;1;0;2;0;73;0,260680;0,299659;-0,138572;7,274;;;;0,000000;-0,253628;0,056943;0,001560;-0,046167;;
20260918_163752_773;20260918_163752_773_i0003;2026-09-18T16:38:03.113+02:00;impulse_0003_20260918_163752_773_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_163752_773_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-45,948;-1;7736000,000;7736046,000;7736550,000;50,000;3,000;2,9429633333333336;0,6599133333333334;0,5132;0,3699;0,1432;145,528;0,232950;1;1;1;0;2;0;71;0,315936;0,307277;-0,222394;42,410;;;;0,000000;-0,231954;0,010720;-0,057037;-0,075568;;
20260918_163752_773;20260918_163752_773_i0004;2026-09-18T16:38:05.167+02:00;impulse_0004_20260918_163752_773_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_163752_773_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-45,948;-1;7738015,000;7738062,000;7738565,000;50,000;3,000;2,9608433333333335;0,33377;0,5083;0,3643;0,1441;145,436;0,234427;1;1;1;0;2;0;73;0,275682;0,303563;0,278583;0,176;;2,946;;0,000580;-0,227351;0,145674;-0,039157;0,094089;;
20260918_163752_773;20260918_163752_773_i0005;2026-09-18T16:38:07.292+02:00;impulse_0005_20260918_163752_773_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_163752_773_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-45,948;-1;7740078,000;7740171,000;7740628,000;50,000;3,000;2,94205;0,99368;0,5049;0,3623;0,1425;145,024;0,236535;1;1;1;0;2;0;76;0,235261;0,292363;-0,140774;49,959;;;;0,000000;-0,140774;0,000000;-0,057950;-0,047849;;
20260918_163752_773;20260918_163752_773_i0006;2026-09-18T16:38:12.198+02:00;impulse_0006_20260918_163752_773_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_163752_773_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-45,948;-1;7745109,000;7745156,000;7745659,000;50,000;3,250;3,23765;0,37110333333333334;0,5238;0,3768;0,1470;152,272;0,244022;1;1;1;0;2;0;72;0,313011;0,336929;0,023324;0,381;;0,161;;0,000005;-0,301958;0,094384;-0,012350;0,007204;;
20260918_163752_773;20260918_163752_773_i0007;2026-09-18T16:38:14.336+02:00;impulse_0007_20260918_163752_773_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_163752_773_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-45,948;-1;7747187,000;7747234,000;7747737,000;50,000;3,250;3,21787;0,7491300000000001;0,5263;0,3774;0,1489;152,226;0,245415;1;1;1;0;2;0;73;0,247823;0,329804;-0,147785;43,283;;;;0,000000;-0,154879;0,007477;-0,032130;-0,045926;;
20260918_163752_773;20260918_163752_773_i0008;2026-09-18T16:38:16.406+02:00;impulse_0008_20260918_163752_773_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_163752_773_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-45,948;-1;7749218,000;7749265,000;7749768,000;50,000;3,250;3,2067033333333335;0,7103733333333334;0,5378;0,3841;0,1537;152,043;0,246227;1;1;1;0;2;0;74;0,282775;0,334148;-0,146034;4,976;;;;0,000000;-0,273683;0,061240;-0,043297;-0,045540;;
20260918_163752_773;20260918_163752_773_i0009;2026-09-18T16:38:18.405+02:00;impulse_0009_20260918_163752_773_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_163752_773_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-45,948;-1;7751281,000;7751343,000;7751831,000;50,000;3,250;3,18375;1,11332;0,5535;0,3968;0,1567;151,524;0,243968;1;1;1;0;2;0;71;0,353149;0,339420;-0,256827;46,942;;;;0,000000;-0,256827;0,000000;-0,066250;-0,080668;;
20260918_163752_773;20260918_163752_773_i0010;2026-09-18T16:38:20.531+02:00;impulse_0010_20260918_163752_773_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_163752_773_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-45,948;-1;7753312,000;7753390,000;7753862,000;50,000;3,250;3,24033;0,63936;0,5513;0,3941;0,1572;152,989;0,251649;1;1;1;0;2;0;79;0,305708;0,329265;-0,169933;12,074;;;;0,000000;-0,299894;0,065052;-0,009670;-0,052443;;
