sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_155549_553;20260918_155549_553_i0001;2026-09-18T15:55:55.752+02:00;impulse_0001_20260918_155549_553_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_155549_553_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-75,905;-1;5208687,000;5208734,000;5209237,000;50,000;3,000;2,9592566666666666;0,7239;0,4350;0,2872;0,1478;146,001;0,234765;1;1;1;0;2;0;72;0,219358;0,287641;0,417018;9,101;;4,185;;0,005366;-0,086040;0,275762;-0,040743;0,140920;;
20260918_155549_553;20260918_155549_553_i0002;2026-09-18T15:55:57.863+02:00;impulse_0002_20260918_155549_553_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_155549_553_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-75,905;-1;5210796,000;5210796,000;5211346,000;50,000;3,000;2,92422;0,02024;0,4248;0,2803;0,1445;145,802;0,232421;1;1;1;0;1;0;70;0,223164;0,292182;-0,131021;0,185;;;;0,000000;-0,221477;0,049066;-0,075780;-0,044805;;
20260918_155549_553;20260918_155549_553_i0003;2026-09-18T15:55:59.874+02:00;impulse_0003_20260918_155549_553_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_155549_553_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-75,905;-1;5212781,000;5212828,000;5213331,000;50,000;3,000;2,9630433333333333;0,33427999999999997;0,4256;0,2815;0,1441;145,436;0,234130;1;1;1;0;2;0;72;0,126261;0,236747;0,568407;1,740;;21,261;;0,012099;0,205405;0,303228;-0,036957;0,191832;65,970;34,030
20260918_155549_553;20260918_155549_553_i0004;2026-09-18T15:56:01.922+02:00;impulse_0004_20260918_155549_553_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_155549_553_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-75,905;-1;5214843,000;5214890,000;5215393,000;50,000;3,000;2,973726666666667;0,5517733333333333;0,4370;0,2897;0,1473;145,528;0,233393;1;1;1;0;2;0;71;0,215597;0,286598;0,418102;10,152;;4,131;;0,005659;-0,079777;0,275030;-0,026273;0,140599;;
20260918_155549_553;20260918_155549_553_i0005;2026-09-18T15:56:03.985+02:00;impulse_0005_20260918_155549_553_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_155549_553_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-75,905;-1;5216875,000;5217000,000;5217425,000;50,000;3,000;2,909;0,985;0,4300;0,2853;0,1447;145,573;0,236845;1;1;1;0;3;1;77;0,088168;0,202164;0,602609;10,483;;21,025;;0,018060;0,343188;0,299954;-0,036893;0,203371;65,341;34,659
20260918_155549_553;20260918_155549_553_i0006;2026-09-18T15:56:09.037+02:00;impulse_0006_20260918_155549_553_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_155549_553_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-75,905;-1;5221953,000;5222000,000;5222503,000;50,000;3,250;3,2282466666666667;0,70121;0,4581;0,3028;0,1553;152,165;0,243086;1;1;1;0;2;0;70;0,296374;0,329881;0,410198;1,540;;3,847;;0,002322;-0,207674;0,243259;-0,021753;0,127065;;
20260918_155549_553;20260918_155549_553_i0007;2026-09-18T15:56:11.130+02:00;impulse_0007_20260918_155549_553_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_155549_553_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-75,905;-1;5224015,000;5224062,000;5224565,000;50,000;3,250;3,221836666666667;0,7426200000000001;0,4608;0,3050;0,1558;153,066;0,248011;1;1;1;0;2;0;75;0,222530;0,311153;-0,028990;10,255;;;;0,000000;-0,220807;0,086323;-0,028163;-0,008998;;
20260918_155549_553;20260918_155549_553_i0008;2026-09-18T15:56:13.184+02:00;impulse_0008_20260918_155549_553_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_155549_553_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-75,905;-1;5226062,000;5226109,000;5226612,000;50,000;3,250;3,22416;0,7414000000000001;0,4568;0,3024;0,1543;152,501;0,245937;1;1;1;0;2;0;73;0,302386;0,336209;-0,105782;5,108;;;;0,000000;-0,294340;0,084968;-0,025840;-0,032809;;
20260918_155549_553;20260918_155549_553_i0009;2026-09-18T15:56:15.183+02:00;impulse_0009_20260918_155549_553_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_155549_553_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-75,905;-1;5228078,000;5228125,000;5228628,000;50,000;3,250;3,23002;0,37232333333333334;0,4607;0,3053;0,1554;151,952;0,244367;1;1;1;0;2;0;71;0,164718;0,277212;0,611187;2,470;;20,692;;0,013313;0,215330;0,339908;-0,019980;0,189221;65,820;34,180
20260918_155549_553;20260918_155549_553_i0010;2026-09-18T15:56:17.257+02:00;impulse_0010_20260918_155549_553_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_155549_553_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-75,905;-1;5230156,000;5230234,000;5230706,000;50,000;3,250;3,19053;1,124;0,4588;0,3036;0,1552;152,440;0,247670;1;1;1;0;2;0;76;0,227697;0,308192;-0,035849;13,958;;;;0,000000;-0,217542;0,090979;-0,059470;-0,011236;;
20260918_155549_553;20260918_155549_553_i0011;2026-09-18T15:56:22.281+02:00;impulse_0011_20260918_155549_553_i0011_p3p500bar_mask7_timeseries.csv;impulse_0011_20260918_155549_553_i0011_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;11;-1;-1;-1;-75,905;-1;5235171,000;5235234,000;5235721,000;50,000;3,500;3,50639;0,0116;0,5026;0,3326;0,1700;159,841;0,257207;1;1;1;0;2;0;73;0,167902;0,298023;0,682520;3,612;;20,787;;0,016548;0,275655;0,382005;0,006390;0,194650;65,809;34,191
20260918_155549_553;20260918_155549_553_i0012;2026-09-18T15:56:24.354+02:00;impulse_0012_20260918_155549_553_i0012_p3p500bar_mask7_timeseries.csv;impulse_0012_20260918_155549_553_i0012_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;12;-1;-1;-1;-75,905;-1;5237234,000;5237281,000;5237784,000;50,000;3,500;3,4769133333333335;0,6416000000000001;0,4984;0,3297;0,1688;160,070;0,257659;1;1;1;0;2;0;74;0,191584;0,321624;0,593781;12,101;;4,547;;0,009284;-0,007691;0,342160;-0,023087;0,170778;;
20260918_155549_553;20260918_155549_553_i0013;2026-09-18T15:56:26.361+02:00;impulse_0013_20260918_155549_553_i0013_p3p500bar_mask7_timeseries.csv;impulse_0013_20260918_155549_553_i0013_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;13;-1;-1;-1;-75,905;-1;5239281,000;5239328,000;5239831,000;50,000;3,500;3,47441;0,41403666666666666;0,5060;0,3347;0,1713;159,948;0,257730;1;1;1;0;2;0;74;0,116128;0,254468;0,722644;8,696;;20,836;;0,020939;0,398813;0,376551;-0,025590;0,207990;65,054;34,946
