sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_161411_101;20260918_161411_101_i0001;2026-09-18T16:14:17.360+02:00;impulse_0001_20260918_161411_101_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_161411_101_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-95,927;-1;6310234,000;6310281,000;6310784,000;50,000;3,000;2,952363333333333;0,66388;0,2821;0,1475;0,1346;146,336;0,234579;1;1;1;0;2;0;72;0,161671;0,165060;-0,030409;6,315;;;;0,000000;-0,157432;0,063147;-0,047637;-0,010300;;
20260918_161411_101;20260918_161411_101_i0002;2026-09-18T16:14:19.370+02:00;impulse_0002_20260918_161411_101_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_161411_101_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-95,927;-1;6312250,000;6312328,000;6312800,000;50,000;3,000;2,99973;0,01129;0,2658;0,1382;0,1276;145,024;0,231628;1;1;1;0;2;0;70;0,117781;0,155429;0,225450;9,405;;4,083;;0,002807;-0,063343;0,149280;-0,000270;0,075157;;
20260918_161411_101;20260918_161411_101_i0003;2026-09-18T16:14:21.454+02:00;impulse_0003_20260918_161411_101_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_161411_101_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-95,927;-1;6314328,000;6314375,000;6314878,000;50,000;3,000;2,9606;0,6706966666666667;0,2696;0,1402;0,1294;145,497;0,232668;1;1;1;0;2;0;70;0,160312;0,165733;-0,029651;4,166;;;;0,000000;-0,153436;0,063631;-0,039400;-0,010015;;
20260918_161411_101;20260918_161411_101_i0004;2026-09-18T16:14:23.412+02:00;impulse_0004_20260918_161411_101_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_161411_101_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-95,927;-1;6316343,000;6316390,000;6316893,000;50,000;3,000;2,96884;0,33529333333333333;0,2628;0,1359;0,1269;144,688;0,232828;1;1;1;0;2;0;72;0,106613;0,152360;0,249256;0,145;;18,586;;0,003780;0,022857;0,164341;-0,031160;0,083957;31,455;68,545
20260918_161411_101;20260918_161411_101_i0005;2026-09-18T16:14:25.488+02:00;impulse_0005_20260918_161411_101_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_161411_101_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-95,927;-1;6318390,000;6318437,000;6318940,000;50,000;3,000;2,9728066666666666;0,33275333333333335;0,2543;0,1311;0,1232;145,299;0,235918;1;1;1;0;2;0;74;0,089973;0,141561;0,301433;0,161;;20,542;;0,005420;0,082520;0,163653;-0,110527;0,101397;50,457;49,543
20260918_161411_101;20260918_161411_101_i0006;2026-09-18T16:14:30.593+02:00;impulse_0006_20260918_161411_101_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_161411_101_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-95,927;-1;6323468,000;6323515,000;6324018,000;50,000;3,250;3,22245;0,7342733333333333;0,2778;0,1430;0,1348;151,418;0,242696;1;1;1;0;2;0;71;0,183657;0,175943;-0,031497;11,553;;;;0,000000;-0,181101;0,076307;-0,027550;-0,009774;;
20260918_161411_101;20260918_161411_101_i0007;2026-09-18T16:14:32.639+02:00;impulse_0007_20260918_161411_101_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_161411_101_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-95,927;-1;6325546,000;6325578,000;6326096,000;50,000;3,250;3,225566666666667;0,7500433333333334;0,2932;0,1510;0,1422;152,898;0,246737;1;1;1;0;2;0;72;0,139002;0,173598;-0,036377;17,019;;;;0,000000;-0,137254;0,049483;-0,024433;-0,011278;;
20260918_161411_101;20260918_161411_101_i0008;2026-09-18T16:14:34.711+02:00;impulse_0008_20260918_161411_101_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_161411_101_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-95,927;-1;6327578,000;6327625,000;6328128,000;50,000;3,250;3,2040166666666665;0,7331533333333333;0,2790;0,1431;0,1359;152,150;0,244321;1;1;1;0;2;0;72;0,149636;0,175602;-0,005833;9,032;;;;0,000000;-0,147247;0,073503;-0,045983;-0,001820;;
20260918_161411_101;20260918_161411_101_i0009;2026-09-18T16:14:36.728+02:00;impulse_0009_20260918_161411_101_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_161411_101_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-95,927;-1;6329593,000;6329687,000;6330143,000;50,000;3,250;3,195;1,106;0,2773;0,1433;0,1340;152,913;0,245904;1;1;1;0;3;1;72;0,089483;0,149976;0,326324;1,681;;20,154;;0,007225;0,118160;0,181432;-0,027430;0,101262;51,641;48,359
20260918_161411_101;20260918_161411_101_i0010;2026-09-18T16:14:38.823+02:00;impulse_0010_20260918_161411_101_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_161411_101_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-95,927;-1;6331671,000;6331750,000;6332221,000;50,000;3,250;3,20261;1,09745;0,2836;0,1461;0,1376;153,645;0,251521;1;1;1;0;2;0;78;0,184001;0,175776;-0,041769;10,696;;;;0,000000;-0,180862;0,073295;-0,047390;-0,013042;;
20260918_161411_101;20260918_161411_101_i0011;2026-09-18T16:14:43.835+02:00;impulse_0011_20260918_161411_101_i0011_p3p500bar_mask7_timeseries.csv;impulse_0011_20260918_161411_101_i0011_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;11;-1;-1;-1;-95,927;-1;6336718,000;6336765,000;6337268,000;50,000;3,500;3,46745;0,8147433333333333;0,2986;0,1543;0,1443;158,879;0,256158;1;1;1;0;2;0;74;0,170111;0,195389;-0,013775;10,444;;;;0,000000;-0,169377;0,080747;-0,032550;-0,003973;;
20260918_161411_101;20260918_161411_101_i0012;2026-09-18T16:14:45.900+02:00;impulse_0012_20260918_161411_101_i0012_p3p500bar_mask7_timeseries.csv;impulse_0012_20260918_161411_101_i0012_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;12;-1;-1;-1;-95,927;-1;6338781,000;6338828,000;6339331,000;50,000;3,500;3,4752033333333334;0,8230833333333333;0,2986;0,1540;0,1446;159,795;0,257466;1;1;1;0;2;0;73;0,198011;0,204945;-0,041858;2,648;;;;0,000000;-0,189361;0,075314;-0,024797;-0,012045;;
20260918_161411_101;20260918_161411_101_i0013;2026-09-18T16:14:47.904+02:00;impulse_0013_20260918_161411_101_i0013_p3p500bar_mask7_timeseries.csv;impulse_0013_20260918_161411_101_i0013_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;13;-1;-1;-1;-95,927;-1;6340812,000;6340859,000;6341362,000;50,000;3,500;3,4694700000000003;0,9177933333333333;0,2948;0,1519;0,1429;159,062;0,255158;1;1;1;0;2;0;72;0,167876;0,195917;0,263352;0,383;;3,799;;0,000856;-0,122134;0,142642;-0,030530;0,075906;;
20260918_161411_101;20260918_161411_101_i0014;2026-09-18T16:14:49.987+02:00;impulse_0014_20260918_161411_101_i0014_p3p500bar_mask7_timeseries.csv;impulse_0014_20260918_161411_101_i0014_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;14;-1;-1;-1;-95,927;-1;6342875,000;6342921,000;6343425,000;50,000;3,500;3,44914;0,82166;0,2908;0,1504;0,1404;159,474;0,256934;1;1;1;0;2;0;73;0,160508;0,199450;0,004067;6,817;0,426;0,311;0,666;0,000003;-0,157964;0,079016;-0,050860;0,001179;;
20260918_161411_101;20260918_161411_101_i0015;2026-09-18T16:14:52.002+02:00;impulse_0015_20260918_161411_101_i0015_p3p500bar_mask7_timeseries.csv;impulse_0015_20260918_161411_101_i0015_p3p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;15;-1;-1;-1;-95,927;-1;6344906,000;6345000,000;6345456,000;50,000;3,500;3,48204;0,52309;0,2945;0,1515;0,1430;159,337;0,261840;1;1;1;0;2;0;80;0,160451;0,192970;0,258193;2,130;;3,706;;0,001622;-0,110333;0,153404;-0,017960;0,074150;;
20260918_161411_101;20260918_161411_101_i0016;2026-09-18T16:14:57.083+02:00;impulse_0016_20260918_161411_101_i0016_p3p750bar_mask7_timeseries.csv;impulse_0016_20260918_161411_101_i0016_p3p750bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;16;-1;-1;-1;-95,927;-1;6349968,000;6350015,000;6350518,000;50,000;3,750;3,71978;0,84587;0,3129;0,1623;0,1506;165,883;0,265252;1;1;1;0;2;0;72;0,189212;0,216383;0,221005;0,090;;2,573;;0,000411;-0,157488;0,128629;-0,030220;0,059414;;
20260918_161411_101;20260918_161411_101_i0017;2026-09-18T16:14:59.172+02:00;impulse_0017_20260918_161411_101_i0017_p3p750bar_mask7_timeseries.csv;impulse_0017_20260918_161411_101_i0017_p3p750bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;17;-1;-1;-1;-95,927;-1;6352031,000;6352078,000;6352581,000;50,000;3,750;3,7053133333333332;0,9014166666666666;0,3128;0,1620;0,1508;166,143;0,269175;1;1;1;0;2;0;74;0,171323;0,218487;-0,001418;3,515;;;;0,000000;-0,164325;0,079496;-0,044687;-0,000383;;
20260918_161411_101;20260918_161411_101_i0018;2026-09-18T16:15:01.190+02:00;impulse_0018_20260918_161411_101_i0018_p3p750bar_mask7_timeseries.csv;impulse_0018_20260918_161411_101_i0018_p3p750bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;18;-1;-1;-1;-95,927;-1;6354062,000;6354140,000;6354612,000;50,000;3,750;3,73858;0,65706;0,3185;0,1657;0,1527;165,838;0,266509;1;1;1;0;2;0;72;0,179495;0,214278;0,290379;1,745;;3,785;;0,001659;-0,123889;0,165945;-0,011420;0,077671;;
20260918_161411_101;20260918_161411_101_i0019;2026-09-18T16:15:03.270+02:00;impulse_0019_20260918_161411_101_i0019_p3p750bar_mask7_timeseries.csv;impulse_0019_20260918_161411_101_i0019_p3p750bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;19;-1;-1;-1;-95,927;-1;6356125,000;6356171,000;6356675,000;50,000;3,750;3,70507;0,9038566666666666;0,3165;0,1631;0,1534;165,838;0,266849;1;1;1;0;2;0;73;0,216283;0,223501;-0,051608;6,559;;;;0,000000;-0,213544;0,078595;-0,044930;-0,013929;;
20260918_161411_101;20260918_161411_101_i0020;2026-09-18T16:15:05.292+02:00;impulse_0020_20260918_161411_101_i0020_p4p000bar_mask7_timeseries.csv;impulse_0020_20260918_161411_101_i0020_p4p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;20;-1;-1;-1;-95,927;-1;6358203,000;6358203,000;6358753,000;50,000;4,000;3,7189866666666664;0,8974466666666667;0,3204;0,1655;0,1548;165,731;0,271119;1;1;1;0;1;0;80;0,150755;0,214046;-0,037903;6,793;;;;0,000000;-0,144177;0,055947;-0,281013;-0,010192;;
20260918_161411_101;20260918_161411_101_i0021;2026-09-18T16:15:10.348+02:00;impulse_0021_20260918_161411_101_i0021_p4p000bar_mask7_timeseries.csv;impulse_0021_20260918_161411_101_i0021_p4p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;21;-1;-1;-1;-95,927;-1;6363203,000;6363250,000;6363753,000;50,000;4,000;3,981746666666667;0,49725;0,3340;0,1727;0,1614;171,545;0,277043;1;1;1;0;2;0;73;0,181860;0,235420;0,336725;8,351;;4,070;;0,003626;-0,104823;0,215170;-0,018253;0,084567;;
20260918_161411_101;20260918_161411_101_i0022;2026-09-18T16:15:12.354+02:00;impulse_0022_20260918_161411_101_i0022_p4p000bar_mask7_timeseries.csv;impulse_0022_20260918_161411_101_i0022_p4p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;22;-1;-1;-1;-95,927;-1;6365265,000;6365312,000;6365815,000;50,000;4,000;3,9442133333333333;0,9271566666666666;0,3377;0,1737;0,1639;171,834;0,278007;1;1;1;0;2;0;74;0,242480;0,235404;-0,048800;0,062;;;;0,000000;-0,241092;0,099161;-0,055787;-0,012372;;
20260918_161411_101;20260918_161411_101_i0023;2026-09-18T16:15:14.440+02:00;impulse_0023_20260918_161411_101_i0023_p4p000bar_mask7_timeseries.csv;impulse_0023_20260918_161411_101_i0023_p4p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;23;-1;-1;-1;-95,927;-1;6367343,000;6367343,000;6367893,000;50,000;4,000;3,9631933333333333;0,9671333333333333;0,3357;0,1735;0,1622;171,316;0,276910;1;1;1;0;1;0;74;0,162552;0,233789;-0,040780;5,448;;;;0,000000;-0,154706;0,061366;-0,036807;-0,010290;;
20260918_161411_101;20260918_161411_101_i0024;2026-09-18T16:15:16.516+02:00;impulse_0024_20260918_161411_101_i0024_p4p000bar_mask7_timeseries.csv;impulse_0024_20260918_161411_101_i0024_p4p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;24;-1;-1;-1;-95,927;-1;6369375,000;6369421,000;6369925,000;50,000;4,000;3,9352366666666665;0,9814733333333333;0,3447;0,1792;0,1656;171,819;0,277367;1;1;1;0;2;0;75;0,187224;0,238472;-0,015518;2,407;;;;0,000000;-0,179032;0,080534;-0,064763;-0,003943;;
20260918_161411_101;20260918_161411_101_i0025;2026-09-18T16:15:18.536+02:00;impulse_0025_20260918_161411_101_i0025_p4p000bar_mask7_timeseries.csv;impulse_0025_20260918_161411_101_i0025_p4p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;25;-1;-1;-1;-95,927;-1;6371390,000;6371437,000;6371940,000;50,000;4,000;3,96234;0,49481;0,3318;0,1713;0,1606;172,384;0,279988;1;1;1;0;2;0;76;0,149529;0,222365;0,396578;0,350;;19,293;;0,006462;0,066925;0,244763;-0,120993;0,100087;45,206;54,794
20260918_161411_101;20260918_161411_101_i0026;2026-09-18T16:15:23.590+02:00;impulse_0026_20260918_161411_101_i0026_p4p250bar_mask7_timeseries.csv;impulse_0026_20260918_161411_101_i0026_p4p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;26;-1;-1;-1;-95,927;-1;6376484,000;6376531,000;6377034,000;50,000;4,250;4,217596666666667;1,0709966666666666;0,3598;0,1875;0,1723;179,327;0,288921;1;1;1;0;2;0;74;0,198667;0,255102;-0,072240;15,131;;;;0,000000;-0,203499;0,067169;-0,032403;-0,017128;;
20260918_161411_101;20260918_161411_101_i0027;2026-09-18T16:15:25.619+02:00;impulse_0027_20260918_161411_101_i0027_p4p250bar_mask7_timeseries.csv;impulse_0027_20260918_161411_101_i0027_p4p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;27;-1;-1;-1;-95,927;-1;6378515,000;6378562,000;6379065,000;50,000;4,250;4,187503333333334;0,98239;0,3475;0,1805;0,1670;176,611;0,284452;1;1;1;0;2;0;74;0,223783;0,253636;-0,030850;11,739;;;;0,000000;-0,221839;0,098974;-0,062497;-0,007367;;
20260918_161411_101;20260918_161411_101_i0028;2026-09-18T16:15:27.702+02:00;impulse_0028_20260918_161411_101_i0028_p4p250bar_mask7_timeseries.csv;impulse_0028_20260918_161411_101_i0028_p4p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;28;-1;-1;-1;-95,927;-1;6380578,000;6380625,000;6381128,000;50,000;4,250;4,1994066666666665;1,06184;0,3588;0,1868;0,1720;177,725;0,285352;1;1;1;0;2;0;72;0,261449;0,267542;-0,075972;1,355;;;;0,000000;-0,253244;0,085859;-0,050593;-0,018091;;
20260918_161411_101;20260918_161411_101_i0029;2026-09-18T16:15:29.777+02:00;impulse_0029_20260918_161411_101_i0029_p4p250bar_mask7_timeseries.csv;impulse_0029_20260918_161411_101_i0029_p4p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;29;-1;-1;-1;-95,927;-1;6382625,000;6382703,000;6383175,000;50,000;4,250;4,20862;1,47465;0,3573;0,1861;0,1712;178,076;0,286663;1;1;1;0;2;0;74;0,230763;0,255382;-0,030345;0,266;;;;0,000000;-0,228870;0,104936;-0,041380;-0,007210;;
20260918_161411_101;20260918_161411_101_i0030;2026-09-18T16:15:31.801+02:00;impulse_0030_20260918_161411_101_i0030_p4p250bar_mask7_timeseries.csv;impulse_0030_20260918_161411_101_i0030_p4p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;30;-1;-1;-1;-95,927;-1;6384687,000;6384734,000;6385237,000;50,000;4,250;4,211616666666667;1,0624533333333332;0,3553;0,1836;0,1716;177,816;0,290555;1;1;1;0;2;0;80;0,202086;0,258034;-0,019597;0,932;;;;0,000000;-0,192967;0,086332;-0,121717;-0,004653;;
20260918_161411_101;20260918_161411_101_i0031;2026-09-18T16:15:36.774+02:00;impulse_0031_20260918_161411_101_i0031_p4p500bar_mask7_timeseries.csv;impulse_0031_20260918_161411_101_i0031_p4p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;31;-1;-1;-1;-95,927;-1;6389703,000;6389750,000;6390253,000;50,000;4,500;4,47243;0,5776166666666667;0,3695;0,1919;0,1776;183,508;0,296433;1;1;1;0;2;0;74;0,217718;0,279079;0,400959;7,346;;4,263;;0,004114;-0,127167;0,249945;-0,027570;0,089651;;
20260918_161411_101;20260918_161411_101_i0032;2026-09-18T16:15:38.839+02:00;impulse_0032_20260918_161411_101_i0032_p4p500bar_mask7_timeseries.csv;impulse_0032_20260918_161411_101_i0032_p4p500bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;32;-1;-1;-1;-95,927;-1;6391750,000;6391796,000;6392300,000;50,000;4,500;4,448136666666667;0,5763933333333333;0,3715;0,1929;0,1786;184,317;0,296637;1;1;1;0;2;0;74;0,156731;0,250568;0,495300;0,231;;20,022;;0,009377;0,143873;0,284084;-0,051863;0,111350;51,447;48,553
