sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260731_175650_195;20260731_175650_195_i0001;2026-07-31T17:56:56.025+02:00;impulse_data_20260731_175650_195\impulse_0001_20260731_175650_195_i0001_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0001_20260731_175650_195_i0001_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;1;-1;-1;-1;-177,300;-1;1762080,000;1762131,000;1762629,996;49,996;1,000;0,920;0,263;0,1308;0,0703;0,0605;85,780;0,142254;1;1;1;1;10;8;100;0,050473;0,061375;-0,017342;29,734;;;;0,000000;-0,052235;0,019690;-0,068462;-0,018617;;
20260731_175650_195;20260731_175650_195_i0002;2026-07-31T17:56:58.058+02:00;impulse_data_20260731_175650_195\impulse_0002_20260731_175650_195_i0002_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0002_20260731_175650_195_i0002_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;2;-1;-1;-1;-177,300;-1;1764080,000;1764131,000;1764630,000;50,000;1,000;0,931;0,255;0,1317;0,0711;0,0606;86,020;0,142756;1;1;1;1;10;8;100;0,047270;0,063656;-0,011821;31,814;;;;0,000000;-0,050739;0,022122;-0,047500;-0,012410;;
20260731_175650_195;20260731_175650_195_i0003;2026-07-31T17:57:00.036+02:00;impulse_data_20260731_175650_195\impulse_0003_20260731_175650_195_i0003_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0003_20260731_175650_195_i0003_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;3;-1;-1;-1;-177,300;-1;1766080,000;1766131,000;1766630,000;50,000;1,000;0,930;0,255;0,1330;0,0713;0,0617;86,270;0,143315;1;1;1;1;10;8;100;0,049098;0,062439;-0,014796;5,540;;;;0,000000;-0,048858;0,020815;-0,073077;-0,015962;;
20260731_175650_195;20260731_175650_195_i0004;2026-07-31T17:57:02.076+02:00;impulse_data_20260731_175650_195\impulse_0004_20260731_175650_195_i0004_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0004_20260731_175650_195_i0004_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;4;-1;-1;-1;-177,300;-1;1768080,000;1768131,000;1768629,996;49,996;1,000;0,924;0,261;0,1326;0,0709;0,0617;85,530;0,141758;1;1;1;1;10;8;100;0,051187;0,062226;-0,014673;7,981;;;;0,000000;-0,050752;0,021392;-0,049167;-0,015432;;
20260731_175650_195;20260731_175650_195_i0005;2026-07-31T17:57:04.067+02:00;impulse_data_20260731_175650_195\impulse_0005_20260731_175650_195_i0005_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0005_20260731_175650_195_i0005_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;5;-1;-1;-1;-177,300;-1;1770080,000;1770131,000;1770629,984;49,984;1,000;0,932;0,259;0,1325;0,0713;0,0612;85,290;0,141779;1;1;1;1;10;8;100;0,033340;0,058278;0,002876;5,675;0,657;0,693;1,449;0,000005;-0,032266;0,021422;-0,063333;0,003071;;
20260731_175650_195;20260731_175650_195_i0006;2026-07-31T17:57:06.075+02:00;impulse_data_20260731_175650_195\impulse_0006_20260731_175650_195_i0006_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0006_20260731_175650_195_i0006_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;6;-1;-1;-1;-177,300;-1;1772081,000;1772132,000;1772631,004;50,004;1,000;0,921;0,251;0,1316;0,0703;0,0613;85,780;0,141701;1;1;1;1;10;8;100;0,048469;0,061758;-0,013228;7,972;;;;0,000000;-0,048077;0,021903;-0,070833;-0,014237;;
20260731_175650_195;20260731_175650_195_i0007;2026-07-31T17:57:08.060+02:00;impulse_data_20260731_175650_195\impulse_0007_20260731_175650_195_i0007_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0007_20260731_175650_195_i0007_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;7;-1;-1;-1;-177,300;-1;1774081,000;1774132,000;1774631,000;50,000;1,000;0,930;0,265;0,1054;0,0687;0,0367;85,530;0,142411;1;1;1;1;10;8;100;0,049194;0,061975;-0,012632;29,537;;;;0,000000;-0,051499;0,022329;-0,060769;-0,013449;;
20260731_175650_195;20260731_175650_195_i0008;2026-07-31T17:57:10.071+02:00;impulse_data_20260731_175650_195\impulse_0008_20260731_175650_195_i0008_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0008_20260731_175650_195_i0008_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;8;-1;-1;-1;-177,300;-1;1776080,000;1776132,000;1776630,020;50,020;1,000;0,929;0,258;0,1313;0,0702;0,0612;84,800;0,141246;1;1;1;1;10;8;100;0,047997;0,061338;-0,012909;7,962;;;;0,000000;-0,047623;0,021478;-0,066923;-0,013835;;
20260731_175650_195;20260731_175650_195_i0009;2026-07-31T17:57:12.078+02:00;impulse_data_20260731_175650_195\impulse_0009_20260731_175650_195_i0009_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0009_20260731_175650_195_i0009_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;9;-1;-1;-1;-177,300;-1;1778080,000;1778131,000;1778629,992;49,992;1,000;0,928;0,249;0,1316;0,0704;0,0612;85,530;0,141889;1;1;1;1;10;8;100;0,045846;0,061744;-0,011879;29,045;;;;0,000000;-0,047623;0,020843;-0,065833;-0,012717;;
20260731_175650_195;20260731_175650_195_i0010;2026-07-31T17:57:14.041+02:00;impulse_data_20260731_175650_195\impulse_0010_20260731_175650_195_i0010_p1p000bar_mask15_timeseries.csv;impulse_data_20260731_175650_195\impulse_0010_20260731_175650_195_i0010_p1p000bar_mask15_summary.csv;305ba1b8-b079-41ae-8bc9-b0232a8ae2d7;10;-1;-1;-1;-177,300;-1;1780080,000;1780131,000;1780630,004;50,004;1,000;0,924;0,279;0,1303;0,0703;0,0600;85,530;0,142084;1;1;1;1;10;8;100;0,049812;0,061799;-0,013180;7,503;;;;0,000000;-0,050082;0,021185;-0,065385;-0,014102;;
