sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_144418_636;20260918_144418_636_i0001;2026-09-18T14:44:24.910+02:00;impulse_0001_20260918_144418_636_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_144418_636_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-85,931;-1;917890,000;917937,000;918440,000;50,000;3,000;2,9631666666666665;0,3356033333333333;0,3744;0,2064;0,1681;145,375;0,234011;1;1;1;0;2;0;74;0,000358;0,000606;0,512544;33,463;9,929;21,414;49,166;0,025295;0,456154;0,030310;-0,036833;0,172972;55,782;44,218
20260918_144418_636;20260918_144418_636_i0002;2026-09-18T14:44:27.003+02:00;impulse_0002_20260918_144418_636_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_144418_636_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-85,931;-1;920000,000;920000,000;920550,000;50,000;3,000;2,9409466666666666;0,42014;0,3726;0,2059;0,1668;146,306;0,235412;1;1;1;0;1;0;73;0,225864;0,218559;-0,022519;0,245;;;;0,000000;-0,228487;0,074257;-0,059053;-0,007657;;
20260918_144418_636;20260918_144418_636_i0003;2026-09-18T14:44:29.025+02:00;impulse_0003_20260918_144418_636_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_144418_636_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-85,931;-1;922015,000;922062,000;922565,000;50,000;3,000;2,94546;0,64974;0,3785;0,2088;0,1697;144,917;0,232162;1;1;1;0;2;0;71;0,114898;0,189784;0,389885;1,197;;20,806;;0,007987;0,122212;0,226339;-0,054540;0,132368;54,437;45,563
20260918_144418_636;20260918_144418_636_i0004;2026-09-18T14:44:31.032+02:00;impulse_0004_20260918_144418_636_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_144418_636_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-85,931;-1;924031,000;924125,000;924581,000;50,000;3,000;2,926;0,974;0,3757;0,2079;0,1678;145,848;0,233968;1;1;1;0;3;1;72;0,000300;0,000553;0,510895;42,609;9,542;21,974;49,549;0,025439;0,461963;0,030338;-0,023287;0,171631;56,232;43,768
20260918_144418_636;20260918_144418_636_i0005;2026-09-18T14:44:33.146+02:00;impulse_0005_20260918_144418_636_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_144418_636_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-85,931;-1;926109,000;926187,000;926659,000;50,000;3,000;2,9697;0,95584;0,3760;0,2079;0,1681;146,870;0,234879;1;1;1;0;2;0;70;0,069052;0,152823;0,452470;10,755;;22,917;;0,013377;0,256948;0,219446;-0,030300;0,152362;55,017;44,983
20260918_144418_636;20260918_144418_636_i0006;2026-09-18T14:44:35.149+02:00;impulse_0006_20260918_144418_636_i0006_p3p000bar_mask7_timeseries.csv;impulse_0006_20260918_144418_636_i0006_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-85,931;-1;928156,000;928203,000;928706,000;50,000;3,000;2,97836;0,55635;0,3728;0,2061;0,1667;145,009;0,233175;1;1;1;0;2;0;72;0,026307;0,088454;0,483833;19,852;;21,674;;0,019327;0,413799;0,048877;-0,021640;0,162449;55,995;44,005
20260918_144418_636;20260918_144418_636_i0007;2026-09-18T14:44:37.216+02:00;impulse_0007_20260918_144418_636_i0007_p3p000bar_mask7_timeseries.csv;impulse_0007_20260918_144418_636_i0007_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-85,931;-1;930203,000;930250,000;930753,000;50,000;3,000;2,9573033333333334;0,6430266666666667;0,3728;0,2063;0,1665;144,749;0,233013;1;1;1;0;2;0;72;0,071182;0,154086;0,442643;10,100;;21,814;;0,012874;0,238090;0,227409;-0,042697;0,149678;54,845;45,155
20260918_144418_636;20260918_144418_636_i0008;2026-09-18T14:44:39.227+02:00;impulse_0008_20260918_144418_636_i0008_p3p000bar_mask7_timeseries.csv;impulse_0008_20260918_144418_636_i0008_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-85,931;-1;932234,000;932281,000;932784,000;50,000;3,000;2,977203333333333;0,3263466666666667;0,3769;0,2088;0,1681;144,810;0,232933;1;1;1;0;2;0;71;0,000389;0,000576;0,501854;33,981;9,702;21,064;49,330;0,025039;0,453403;0,027411;-0,022797;0,168565;56,045;43,955
20260918_144418_636;20260918_144418_636_i0009;2026-09-18T14:44:41.325+02:00;impulse_0009_20260918_144418_636_i0009_p3p000bar_mask7_timeseries.csv;impulse_0009_20260918_144418_636_i0009_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-85,931;-1;934296,000;934343,000;934846,000;50,000;3,000;2,9764733333333333;0,55432;0,3719;0,2054;0,1665;145,268;0,234038;1;1;1;0;2;0;72;0,011336;0,046766;0,489286;24,487;;20,872;;0,022022;0,438201;0,027052;-0,023527;0,164384;55,857;44,143
20260918_144418_636;20260918_144418_636_i0010;2026-09-18T14:44:43.395+02:00;impulse_0010_20260918_144418_636_i0010_p3p000bar_mask7_timeseries.csv;impulse_0010_20260918_144418_636_i0010_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-85,931;-1;936375,000;936421,000;936925,000;50,000;3,000;2,9561466666666667;0,6466833333333334;0,3721;0,2052;0,1669;144,353;0,234396;1;1;1;0;2;0;74;0,117810;0,191280;0,387555;0,037;;20,947;;0,007247;0,105607;0,225297;-0,127187;0,131101;54,012;45,988
