sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_140116_956;20260918_140116_956_i0001;2026-09-18T14:01:23.274+02:00;impulse_0001_20260918_140116_956_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_140116_956_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-65,909;-1;1448266,000;1448313,000;1448816,000;50,000;3,000;2,93973;0,6819866666666666;0,4003;0,2399;0,1603;146,611;0,236483;1;1;1;0;2;0;73;0,093615;0,192147;0,492231;9,348;;20,088;;0,013562;0,241384;0,272861;-0,060270;0,167441;58,098;41,902
20260918_140116_956;20260918_140116_956_i0002;2026-09-18T14:01:25.297+02:00;impulse_0002_20260918_140116_956_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_140116_956_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-65,909;-1;1450344,000;1450344,000;1450894,000;50,000;3,000;2,92831;0,35076;0,4067;0,2443;0,1624;146,336;0,234972;1;1;1;0;1;0;71;0,232777;0,254887;0,299887;0,267;;3,906;;0,001261;-0,171871;0,180865;-0,071690;0,102410;;
20260918_140116_956;20260918_140116_956_i0003;2026-09-18T14:01:27.363+02:00;impulse_0003_20260918_140116_956_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_140116_956_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-65,909;-1;1452375,000;1452422,000;1452925,000;50,000;3,000;2,93051;0,66266;0,4012;0,2409;0,1603;145,650;0,233243;1;1;1;0;2;0;71;0,104381;0,200262;0,476091;6,560;;20,005;;0,012223;0,217140;0,268997;-0,069490;0,162460;58,598;41,402
20260918_140116_956;20260918_140116_956_i0004;2026-09-18T14:01:29.369+02:00;impulse_0004_20260918_140116_956_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_140116_956_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-65,909;-1;1454391,000;1454438,000;1454941,000;50,000;3,000;2,9703033333333333;0,3390633333333333;0,4033;0,2424;0,1609;145,436;0,233928;1;1;1;0;2;0;72;-0,001677;0,000630;0,586086;44,107;8,621;20,476;49,509;0,030376;0,532832;0,036215;-0,029697;0,197315;61,320;38,680
20260918_140116_956;20260918_140116_956_i0005;2026-09-18T14:01:31.394+02:00;impulse_0005_20260918_140116_956_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_140116_956_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-65,909;-1;1456438,000;1456485,000;1456988,000;50,000;3,000;2,9751266666666667;0,33641666666666664;0,3994;0,2400;0,1594;145,756;0,238673;1;1;1;0;2;0;78;-0,001803;0,000753;0,582172;40,565;8,594;20,954;49,622;0,030133;0,533991;0,034700;-0,108207;0,195680;61,217;38,783
20260918_140116_956;20260918_140116_956_i0006;2026-09-18T14:01:36.497+02:00;impulse_0006_20260918_140116_956_i0006_p3p250bar_mask7_timeseries.csv;impulse_0006_20260918_140116_956_i0006_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-65,909;-1;1461516,000;1461563,000;1462066,000;50,000;3,250;3,2140866666666668;0,7496366666666667;0,4148;0,2485;0,1663;153,020;0,245720;1;1;1;0;2;0;72;0,088239;0,200900;0,566348;12,355;;20,080;;0,017034;0,316266;0,289645;-0,035913;0,176208;58,975;41,025
20260918_140116_956;20260918_140116_956_i0007;2026-09-18T14:01:38.577+02:00;impulse_0007_20260918_140116_956_i0007_p3p250bar_mask7_timeseries.csv;impulse_0007_20260918_140116_956_i0007_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-65,909;-1;1463594,000;1463594,000;1464144,000;50,000;3,250;3,222933333333333;0,73417;0,4276;0,2568;0,1708;152,821;0,245851;1;1;1;0;1;0;72;0,224350;0,275472;0,360391;5,701;;4,174;;0,003555;-0,108672;0,253871;-0,027067;0,111821;;
20260918_140116_956;20260918_140116_956_i0008;2026-09-18T14:01:40.592+02:00;impulse_0008_20260918_140116_956_i0008_p3p250bar_mask7_timeseries.csv;impulse_0008_20260918_140116_956_i0008_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-65,909;-1;1465625,000;1465672,000;1466175,000;50,000;3,250;3,215793333333333;0,7521800000000001;0,4316;0,2595;0,1721;152,638;0,246868;1;1;1;0;2;0;73;0,093385;0,204193;0,548040;11,097;;20,002;;0,016156;0,295639;0,291616;-0,034207;0,170421;58,718;41,282
20260918_140116_956;20260918_140116_956_i0009;2026-09-18T14:01:42.608+02:00;impulse_0009_20260918_140116_956_i0009_p3p250bar_mask7_timeseries.csv;impulse_0009_20260918_140116_956_i0009_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-65,909;-1;1467625,000;1467672,000;1468175,000;50,000;3,250;3,2280633333333335;0,37476333333333334;0,4174;0,2507;0,1667;153,310;0,246398;1;1;1;0;2;0;71;-0,001891;0,000821;0,639580;50,543;8,707;20,676;49,844;0,033471;0,575892;0,033931;-0,021937;0,198131;62,038;37,962
20260918_140116_956;20260918_140116_956_i0010;2026-09-18T14:01:44.702+02:00;impulse_0010_20260918_140116_956_i0010_p3p250bar_mask7_timeseries.csv;impulse_0010_20260918_140116_956_i0010_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-65,909;-1;1469688,000;1469766,000;1470238,000;50,000;3,250;3,23704;0,00702;0,4178;0,2512;0,1666;152,165;0,250075;1;1;1;0;2;0;78;-0,001588;0,000451;0,639212;48,332;8,758;20,627;49,514;0,033155;0,573988;0,032263;-0,012960;0,197468;61,785;38,215
