sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_145756_102;20260918_145756_102_i0001;2026-09-18T14:58:02.393+02:00;impulse_0001_20260918_145756_102_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_145756_102_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-65,939;-1;1735359,000;1735406,000;1735909,000;50,000;3,000;2,9577299999999997;0,65096;0,4104;0,2480;0,1624;146,123;0,234982;1;1;1;0;2;0;73;0,126979;0,211851;0,445316;1,779;;20,190;;0,009543;0,152696;0,252774;-0,042270;0,150560;60,123;39,877
20260918_145756_102;20260918_145756_102_i0002;2026-09-18T14:58:04.414+02:00;impulse_0002_20260918_145756_102_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_145756_102_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-65,939;-1;1737375,000;1737453,000;1737925,000;50,000;3,000;3,00705;0,01068;0,4122;0,2491;0,1632;145,619;0,233844;1;1;1;0;2;0;71;0,005737;0,025143;0,572595;26,989;;20,565;49,227;0,027131;0,511704;0,033982;0,007050;0,190418;61,140;38,860
20260918_145756_102;20260918_145756_102_i0003;2026-09-18T14:58:06.491+02:00;impulse_0003_20260918_145756_102_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_145756_102_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-65,939;-1;1739453,000;1739500,000;1740003,000;50,000;3,000;2,9643233333333336;0,6338699999999999;0,4109;0,2495;0,1614;145,329;0,234414;1;1;1;0;2;0;73;0,087544;0,182377;0,493802;9,218;;20,817;;0,014029;0,256106;0,259411;-0,035677;0,166582;58,696;41,304
20260918_145756_102;20260918_145756_102_i0004;2026-09-18T14:58:08.509+02:00;impulse_0004_20260918_145756_102_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_145756_102_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-65,939;-1;1741515,000;1741562,000;1742065,000;50,000;3,000;2,9508366666666666;0,6618466666666667;0,4113;0,2496;0,1617;145,375;0,235037;1;1;1;0;2;0;73;0,161139;0,232091;0,374519;0,348;;17,932;;0,006130;0,046812;0,249482;-0,049163;0,126920;57,596;42,404
20260918_145756_102;20260918_145756_102_i0005;2026-09-18T14:58:10.580+02:00;impulse_0005_20260918_145756_102_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_145756_102_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-65,939;-1;1743546,000;1743593,000;1744096,000;50,000;3,000;2,9755533333333335;0,6315299999999999;0,4103;0,2496;0,1606;145,680;0,233052;1;1;1;0;2;0;70;0,087031;0,182528;0,480561;9,858;;20,302;;0,014032;0,262058;0,253038;-0,024447;0,161503;58,827;41,173
20260918_145756_102;20260918_145756_102_i0006;2026-09-18T14:58:12.609+02:00;impulse_0006_20260918_145756_102_i0006_p3p000bar_mask7_timeseries.csv;impulse_0006_20260918_145756_102_i0006_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-65,939;-1;1745609,000;1745656,000;1746159,000;50,000;3,000;2,94644;0,6612333333333333;0,4030;0,2451;0,1579;145,299;0,234265;1;1;1;0;2;0;72;0,139593;0,219466;0,438380;0,006;;20,591;;0,008170;0,117740;0,253273;-0,053560;0,148783;59,857;40,143
20260918_145756_102;20260918_145756_102_i0007;2026-09-18T14:58:14.679+02:00;impulse_0007_20260918_145756_102_i0007_p3p000bar_mask7_timeseries.csv;impulse_0007_20260918_145756_102_i0007_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-65,939;-1;1747640,000;1747718,000;1748190,000;50,000;3,000;2,9935;0,01007;0,4087;0,2486;0,1601;144,902;0,233014;1;1;1;0;2;0;72;0,026228;0,089741;0,540370;21,683;;20,172;;0,022550;0,471874;0,050141;-0,006500;0,180514;60,948;39,052
20260918_145756_102;20260918_145756_102_i0008;2026-09-18T14:58:16.690+02:00;impulse_0008_20260918_145756_102_i0008_p3p000bar_mask7_timeseries.csv;impulse_0008_20260918_145756_102_i0008_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-65,939;-1;1749687,000;1749734,000;1750237,000;50,000;3,000;2,9764666666666666;0,6629633333333333;0,4109;0,2502;0,1606;144,780;0,231810;1;1;1;0;2;0;71;0,066666;0,162303;0,508745;13,716;;21,149;;0,016525;0,331070;0,217809;-0,023533;0,170923;60,080;39,920
20260918_145756_102;20260918_145756_102_i0009;2026-09-18T14:58:18.751+02:00;impulse_0009_20260918_145756_102_i0009_p3p000bar_mask7_timeseries.csv;impulse_0009_20260918_145756_102_i0009_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-65,939;-1;1751750,000;1751796,000;1752300,000;50,000;3,000;2,95651;0,6487233333333333;0,4067;0,2476;0,1591;144,917;0,231816;1;1;1;0;2;0;70;0,108190;0,197577;0,472837;5,588;;20,859;;0,011518;0,207185;0,254842;-0,043490;0,159931;58,939;41,061
20260918_145756_102;20260918_145756_102_i0010;2026-09-18T14:58:20.828+02:00;impulse_0010_20260918_145756_102_i0010_p3p000bar_mask7_timeseries.csv;impulse_0010_20260918_145756_102_i0010_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-65,939;-1;1753781,000;1753828,000;1754331,000;50,000;3,000;2,974396666666667;0,32939666666666667;0,4060;0,2467;0,1593;144,978;0,236330;1;1;1;0;2;0;76;0,012656;0,048572;0,555033;24,430;;20,703;;0,025297;0,497681;0,031650;-0,108937;0,186604;61,320;38,680
