sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_143808_831;20260918_143808_831_i0001;2026-09-18T14:38:15.088+02:00;impulse_0001_20260918_143808_831_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_143808_831_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-95,927;-1;548062,000;548109,000;548612,000;50,000;3,000;2,9689033333333334;0,68494;0,2240;0,1082;0,1158;146,214;0,235050;1;1;1;0;2;0;72;0,002870;0,015503;0,317333;6,749;;42,389;48,265;0,014450;0,252136;0,032029;-0,031097;0,106886;48,745;51,255
20260918_143808_831;20260918_143808_831_i0002;2026-09-18T14:38:17.160+02:00;impulse_0002_20260918_143808_831_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_143808_831_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-95,927;-1;550171,000;550171,000;550721,000;50,000;3,000;2,9419833333333334;0,01129;0,2277;0,1095;0,1181;146,016;0,233880;1;1;1;0;1;0;72;0,121903;0,130878;-0,025791;2,213;;;;0,000000;-0,119317;0,049101;-0,058017;-0,008766;;
20260918_143808_831;20260918_143808_831_i0003;2026-09-18T14:38:19.160+02:00;impulse_0003_20260918_143808_831_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_143808_831_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-95,927;-1;552156,000;552203,000;552706,000;50,000;3,000;2,9653;0,33122999999999997;0,2292;0,1105;0,1188;145,421;0,233097;1;1;1;0;2;0;72;0,000197;0,002031;0,321130;11,228;;41,965;48,154;0,015248;0,252071;0,031968;-0,034700;0,108296;48,249;51,751
20260918_143808_831;20260918_143808_831_i0004;2026-09-18T14:38:21.230+02:00;impulse_0004_20260918_143808_831_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_143808_831_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-95,927;-1;554234,000;554281,000;554784,000;50,000;3,000;2,9667033333333332;0,6531933333333334;0,2307;0,1121;0,1186;145,741;0,234347;1;1;1;0;2;0;74;0,052090;0,102625;0,243341;6,276;;20,042;;0,006155;0,102210;0,136046;-0,033297;0,082024;47,749;52,251
20260918_143808_831;20260918_143808_831_i0005;2026-09-18T14:38:23.313+02:00;impulse_0005_20260918_143808_831_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_143808_831_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-95,927;-1;556281,000;556359,000;556831,000;50,000;3,000;2,97794;0,90609;0,2207;0,1062;0,1145;145,909;0,234878;1;1;1;0;2;0;74;0,040239;0,093963;0,234927;10,710;;19,324;;0,007095;0,124806;0,133213;-0,022060;0,078889;47,139;52,861
20260918_143808_831;20260918_143808_831_i0006;2026-09-18T14:38:25.359+02:00;impulse_0006_20260918_143808_831_i0006_p3p000bar_mask7_timeseries.csv;impulse_0006_20260918_143808_831_i0006_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-95,927;-1;558343,000;558390,000;558893,000;50,000;3,000;2,940523333333333;0,6529966666666667;0,2255;0,1076;0,1178;145,421;0,233523;1;1;1;0;2;0;72;0,088016;0,122220;0,179790;11,879;;3,384;;0,002182;-0,050192;0,121389;-0,059477;0,061142;;
20260918_143808_831;20260918_143808_831_i0007;2026-09-18T14:38:27.441+02:00;impulse_0007_20260918_143808_831_i0007_p3p000bar_mask7_timeseries.csv;impulse_0007_20260918_143808_831_i0007_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-95,927;-1;560421,000;560421,000;560971,000;50,000;3,000;2,96591;0,6421066666666667;0,2257;0,1084;0,1173;145,711;0,233510;1;1;1;0;1;0;72;0,125007;0,125707;0,016725;0,084;;0,240;;0,000003;-0,125794;0,066386;-0,034090;0,005639;;
20260918_143808_831;20260918_143808_831_i0008;2026-09-18T14:38:29.451+02:00;impulse_0008_20260918_143808_831_i0008_p3p000bar_mask7_timeseries.csv;impulse_0008_20260918_143808_831_i0008_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-95,927;-1;562437,000;562484,000;562987,000;50,000;3,000;2,9520566666666666;0,6480133333333333;0,2261;0,1082;0,1179;144,642;0,232332;1;1;1;0;2;0;73;0,067259;0,110671;0,214956;0,176;;19,023;;0,004154;0,060609;0,129629;-0,047943;0,072816;46,518;53,482
20260918_143808_831;20260918_143808_831_i0009;2026-09-18T14:38:31.438+02:00;impulse_0009_20260918_143808_831_i0009_p3p000bar_mask7_timeseries.csv;impulse_0009_20260918_143808_831_i0009_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-95,927;-1;564453,000;564500,000;565003,000;50,000;3,000;2,977383333333333;0,33204;0,2312;0,1120;0,1192;144,902;0,234135;1;1;1;0;2;0;72;0,000083;0,000757;0,321209;13,150;8,405;42,285;48,075;0,015249;0,256871;0,032226;-0,022617;0,107883;48,617;51,383
20260918_143808_831;20260918_143808_831_i0010;2026-09-18T14:38:33.507+02:00;impulse_0010_20260918_143808_831_i0010_p3p000bar_mask7_timeseries.csv;impulse_0010_20260918_143808_831_i0010_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-95,927;-1;566500,000;566625,000;567050,000;50,000;3,000;2,952;0,973;0,2299;0,1112;0,1187;145,802;0,238090;1;1;1;0;3;1;77;0,000207;0,000546;0,322700;21,352;8,556;42,524;48,189;0,015179;0,263249;0,028494;-0,026337;0,108519;49,112;50,888
