sequence id;impulse id;recorded at local;timeseries file;summary file;calibration profile id;impulse index;flip angle;pose number;hole number;read stepper y offset;read colibri z offset;start time ms;valve close time ms;capture end time ms;arduino valve open duration ms;target regulator pressure;average actual regulator pressure;average pressure before valve;average force reading;average force 1;average force 2;maximum flow;volume l;nozzle 1 used;nozzle 2 used;nozzle 3 used;nozzle 4 used;valve open sample count;pressure sample count;flow sample count;force baseline n;force baseline standard deviation n;peak force n;time to peak ms;force rise 10-90 ms;force fall 90-10 ms;force fwhm ms;force impulse ns;force plateau mean n;force plateau standard deviation n;actual minus target pressure bar;peak force per actual pressure n per bar;force 1 share percent;force 2 share percent
20260918_150901_015;20260918_150901_015_i0001;2026-09-18T15:09:07.280+02:00;impulse_0001_20260918_150901_015_i0001_p3p000bar_mask7_timeseries.csv;impulse_0001_20260918_150901_015_i0001_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;1;-1;-1;-1;-45,948;-1;2400234,000;2400281,000;2400784,000;50,000;3,000;2,96066;0,6572666666666667;0,4431;0,2775;0,1657;146,413;0,234787;1;1;1;0;2;0;72;0,153828;0,231743;0,424512;0,233;;18,755;;0,007634;0,098375;0,257782;-0,039340;0,143384;63,038;36,962
20260918_150901_015;20260918_150901_015_i0002;2026-09-18T15:09:09.357+02:00;impulse_0002_20260918_150901_015_i0002_p3p000bar_mask7_timeseries.csv;impulse_0002_20260918_150901_015_i0002_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;2;-1;-1;-1;-45,948;-1;2402250,000;2402343,000;2402800,000;50,000;3,000;3,00998;0,01312;0,4433;0,2777;0,1656;146,199;0,234125;1;1;1;0;2;0;71;0,029537;0,098386;0,565558;21,624;;20,505;;0,022960;0,495664;0,057607;0,009980;0,187894;62,689;37,311
20260918_150901_015;20260918_150901_015_i0003;2026-09-18T15:09:11.385+02:00;impulse_0003_20260918_150901_015_i0003_p3p000bar_mask7_timeseries.csv;impulse_0003_20260918_150901_015_i0003_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;3;-1;-1;-1;-45,948;-1;2404343,000;2404390,000;2404893,000;50,000;3,000;2,9450966666666667;0,6672333333333333;0,4529;0,2838;0,1691;145,848;0,235232;1;1;1;0;2;0;73;0,205048;0,250164;0,332585;4,232;;4,935;;0,003241;-0,117078;0,195198;-0,054903;0,112928;;
20260918_150901_015;20260918_150901_015_i0004;2026-09-18T15:09:13.461+02:00;impulse_0004_20260918_150901_015_i0004_p3p000bar_mask7_timeseries.csv;impulse_0004_20260918_150901_015_i0004_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;4;-1;-1;-1;-45,948;-1;2406406,000;2406453,000;2406956,000;50,000;3,000;2,9337400000000002;0,66174;0,4416;0,2761;0,1655;145,756;0,234312;1;1;1;0;2;0;73;0,248781;0,257329;0,231087;0,297;;3,001;;0,000510;-0,207970;0,129558;-0,066260;0,078769;;
20260918_150901_015;20260918_150901_015_i0005;2026-09-18T15:09:15.454+02:00;impulse_0005_20260918_150901_015_i0005_p3p000bar_mask7_timeseries.csv;impulse_0005_20260918_150901_015_i0005_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;5;-1;-1;-1;-45,948;-1;2408437,000;2408484,000;2408987,000;50,000;3,000;2,9662800000000002;0,6522800000000001;0,4411;0,2762;0,1649;144,841;0,232547;1;1;1;0;2;0;71;0,177944;0,243315;0,370495;10,231;;5,013;;0,005319;-0,034932;0,233900;-0,033720;0,124902;;
20260918_150901_015;20260918_150901_015_i0006;2026-09-18T15:09:17.530+02:00;impulse_0006_20260918_150901_015_i0006_p3p000bar_mask7_timeseries.csv;impulse_0006_20260918_150901_015_i0006_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;6;-1;-1;-1;-45,948;-1;2410484,000;2410546,000;2411034,000;50,000;3,000;2,9349;0,97995;0,4452;0,2786;0,1666;145,421;0,231899;1;1;1;0;2;0;70;0,211064;0,251020;0,327601;3,352;;4,875;;0,002767;-0,130722;0,188643;-0,065100;0,111623;;
20260918_150901_015;20260918_150901_015_i0007;2026-09-18T15:09:19.616+02:00;impulse_0007_20260918_150901_015_i0007_p3p000bar_mask7_timeseries.csv;impulse_0007_20260918_150901_015_i0007_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;7;-1;-1;-1;-45,948;-1;2412578,000;2412578,000;2413128,000;50,000;3,000;2,9516866666666663;0,01627666666666667;0,4457;0,2795;0,1661;144,414;0,232842;1;1;1;0;1;0;72;0,264171;0,253729;-0,198704;49,603;;;;0,000000;-0,198704;0,000000;-0,048313;-0,067319;;
20260918_150901_015;20260918_150901_015_i0008;2026-09-18T15:09:21.623+02:00;impulse_0008_20260918_150901_015_i0008_p3p000bar_mask7_timeseries.csv;impulse_0008_20260918_150901_015_i0008_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;8;-1;-1;-1;-45,948;-1;2414562,000;2414609,000;2415112,000;50,000;3,000;2,9719533333333334;0,32848;0,4379;0,2743;0,1636;144,902;0,232871;1;1;1;0;2;0;71;0,045939;0,132642;0,541998;18,479;;20,419;;0,020016;0,433892;0,123271;-0,028047;0,182371;62,372;37,628
20260918_150901_015;20260918_150901_015_i0009;2026-09-18T15:09:23.631+02:00;impulse_0009_20260918_150901_015_i0009_p3p000bar_mask7_timeseries.csv;impulse_0009_20260918_150901_015_i0009_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;9;-1;-1;-1;-45,948;-1;2416609,000;2416671,000;2417159,000;50,000;3,000;2,99222;0,60427;0,4391;0,2754;0,1637;144,978;0,233675;1;1;1;0;2;0;71;0,079176;0,173850;0,502880;12,020;;20,183;;0,015595;0,306540;0,240969;-0,007780;0,168063;61,338;38,662
20260918_150901_015;20260918_150901_015_i0010;2026-09-18T15:09:25.677+02:00;impulse_0010_20260918_150901_015_i0010_p3p000bar_mask7_timeseries.csv;impulse_0010_20260918_150901_015_i0010_p3p000bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;10;-1;-1;-1;-45,948;-1;2418656,000;2418781,000;2419206,000;50,000;3,000;2,963;0,981;0,4479;0,2808;0,1670;145,466;0,238439;1;1;1;0;3;1;80;0,006201;0,021114;0,578671;27,661;;19,842;49,590;0,027353;0,520566;0,029034;-0,018770;0,194105;63,384;36,616
20260918_150901_015;20260918_150901_015_i0011;2026-09-18T15:09:30.785+02:00;impulse_0011_20260918_150901_015_i0011_p3p250bar_mask7_timeseries.csv;impulse_0011_20260918_150901_015_i0011_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;11;-1;-1;-1;-45,948;-1;2423734,000;2423781,000;2424284,000;50,000;3,250;3,2265366666666666;0,75116;0,4815;0,3023;0,1792;152,684;0,246726;1;1;1;0;2;0;74;0,225186;0,278768;0,382888;4,916;;5,172;;0,003917;-0,082324;0,253881;-0,023463;0,118669;;
20260918_150901_015;20260918_150901_015_i0012;2026-09-18T15:09:32.785+02:00;impulse_0012_20260918_150901_015_i0012_p3p250bar_mask7_timeseries.csv;impulse_0012_20260918_150901_015_i0012_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;12;-1;-1;-1;-45,948;-1;2425765,000;2425812,000;2426315,000;50,000;3,250;3,2281233333333335;0,37313999999999997;0,4819;0,3021;0,1798;152,394;0,247147;1;1;1;0;2;0;74;0,047703;0,139975;0,604150;18,466;;19,945;;0,022904;0,498772;0,125265;-0,021877;0,187152;62,543;37,457
20260918_150901_015;20260918_150901_015_i0013;2026-09-18T15:09:34.913+02:00;impulse_0013_20260918_150901_015_i0013_p3p250bar_mask7_timeseries.csv;impulse_0013_20260918_150901_015_i0013_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;13;-1;-1;-1;-45,948;-1;2427828,000;2427906,000;2428378,000;50,000;3,250;3,20261;1,09836;0,4729;0,2966;0,1763;151,982;0,244760;1;1;1;0;2;0;72;0,185224;0,265470;0,428396;11,255;;5,271;;0,007078;-0,019310;0,262416;-0,047390;0,133765;;
20260918_150901_015;20260918_150901_015_i0014;2026-09-18T15:09:36.915+02:00;impulse_0014_20260918_150901_015_i0014_p3p250bar_mask7_timeseries.csv;impulse_0014_20260918_150901_015_i0014_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;14;-1;-1;-1;-45,948;-1;2429890,000;2429937,000;2430440,000;50,000;3,250;3,223673333333333;0,7348833333333333;0,4775;0,2997;0,1778;151,692;0,244813;1;1;1;0;2;0;74;0,257586;0,282433;0,346910;0,255;;4,699;;0,001545;-0,176809;0,194132;-0,026327;0,107613;;
20260918_150901_015;20260918_150901_015_i0015;2026-09-18T15:09:38.981+02:00;impulse_0015_20260918_150901_015_i0015_p3p250bar_mask7_timeseries.csv;impulse_0015_20260918_150901_015_i0015_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;15;-1;-1;-1;-45,948;-1;2431953,000;2431953,000;2432503,000;50,000;3,250;3,2314233333333333;0,7356966666666667;0,4922;0,3092;0,1830;152,165;0,244741;1;1;1;0;1;0;71;0,294005;0,277926;-0,187267;12,762;;;;0,000000;-0,291067;0,047153;-0,018577;-0,057952;;
20260918_150901_015;20260918_150901_015_i0016;2026-09-18T15:09:40.957+02:00;impulse_0016_20260918_150901_015_i0016_p3p250bar_mask7_timeseries.csv;impulse_0016_20260918_150901_015_i0016_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;16;-1;-1;-1;-45,948;-1;2433968,000;2434015,000;2434518,000;50,000;3,250;3,21421;0,7053866666666667;0,4792;0,3006;0,1786;152,562;0,245825;1;1;1;0;2;0;74;0,135456;0,233256;0,518873;4,040;;19,632;;0,012013;0,196586;0,284089;-0,035790;0,161431;61,207;38,793
20260918_150901_015;20260918_150901_015_i0017;2026-09-18T15:09:43.035+02:00;impulse_0017_20260918_150901_015_i0017_p3p250bar_mask7_timeseries.csv;impulse_0017_20260918_150901_015_i0017_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;17;-1;-1;-1;-45,948;-1;2436000,000;2436046,000;2436550,000;50,000;3,250;3,2311133333333335;0,37517333333333336;0,4827;0,3031;0,1797;153,096;0,247561;1;1;1;0;2;0;74;0,017954;0,066416;0,643151;23,797;;20,635;;0,028229;0,573203;0,034672;-0,018887;0,199049;63,353;36,647
20260918_150901_015;20260918_150901_015_i0018;2026-09-18T15:09:45.173+02:00;impulse_0018_20260918_150901_015_i0018_p3p250bar_mask7_timeseries.csv;impulse_0018_20260918_150901_015_i0018_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;18;-1;-1;-1;-45,948;-1;2438109,000;2438109,000;2438659,000;50,000;3,250;3,23173;0,7279666666666667;0,4914;0,3085;0,1828;152,257;0,246488;1;1;1;0;1;0;75;0,289617;0,285940;-0,180839;3,639;;;;0,000000;-0,282753;0,042307;-0,018270;-0,055957;;
20260918_150901_015;20260918_150901_015_i0019;2026-09-18T15:09:47.196+02:00;impulse_0019_20260918_150901_015_i0019_p3p250bar_mask7_timeseries.csv;impulse_0019_20260918_150901_015_i0019_p3p250bar_mask7_summary.csv;784e9ca3-e454-4d8b-9821-c6c1183ae767;19;-1;-1;-1;-45,948;-1;2440140,000;2440187,000;2440690,000;50,000;3,250;3,21342;0,7420100000000001;0,4771;0,2992;0,1778;152,028;0,246626;1;1;1;0;2;0;75;0,221892;0,276437;0,375088;5,003;;5,181;;0,004034;-0,121271;0,221072;-0,036580;0,116725;;
